YEAR,CA_-1678963.8779_1280940.4511,CA_-1678963.8779_1305940.4511,CA_-1703963.8779_1330940.4511,CA_-1678963.8779_1330940.4511,CA_-1678963.8779_1380940.4511,CA_-1653963.8779_1380940.4511,CA_-1628963.8779_1380940.4511,CA_-1628963.8779_1405940.4511,CA_-1703963.8779_1455940.4511,CA_-1678963.8779_1455940.4511,CA_-1653963.8779_1455940.4511,CA_-1703963.8779_1480940.4511,CA_-1678963.8779_1480940.4511,CA_-1653963.8779_1480940.4511,CA_-1753963.8779_1505940.4511,CA_-1728963.8779_1505940.4511,CA_-1703963.8779_1505940.4511,CA_-1678963.8779_1505940.4511,CA_-1653963.8779_1505940.4511,CA_-1778963.8779_1530940.4511,CA_-1753963.8779_1530940.4511,CA_-1728963.8779_1530940.4511,CA_-1703963.8779_1530940.4511,CA_-1778963.8779_1555940.4511,CA_-1778963.8779_1580940.4511
2000,-1.21785569405895,-1.38976459896737,-2.99701643279906,-1.05993962388167,-1.48271237596197,-1.31657313623112,-1.70405636591631,-1.39346780568657,-1.63292001192148,-1.35478668372318,-1.30395405634472,-1.5501549645412,-1.29255057602598,-1.45296311148192,-2.10033838206139,-1.68913080486748,-1.50637562724544,-1.49393514955058,-1.64963085768666,-2.35401556320238,-1.95871945139226,-1.70228347990164,-1.46391355522577,-2.65819539245227,-2.00399517484789
2001,0.673658309930943,0.468633483391002,0.721653715254115,0.683714974386889,0.371480338858764,0.396922550701421,-0.430554973659192,-0.227397161119171,0.420624559056844,0.239943624106693,0.119000029293758,0.372037710189404,0.234670732520082,-0.127232037134485,0.706822934727574,0.592954269414734,0.395200894333259,0.0738678348258492,-0.17916332624105,0.701129621491452,0.555711566825507,0.401704211663761,0.229459593242508,0.521505069421759,0.568283123369423
2002,-0.377817502418492,-0.283755186792741,0.0424670519078045,-0.469693461773333,-0.33493596510659,-0.544316280341184,-0.29253990106812,-0.479748110049556,-0.241491865102256,-0.306265201057944,-0.394577906735272,-0.173849187443263,-0.155011251885527,-0.22562147752262,-0.19644672385885,-0.0938823925738466,-0.110921510454904,-0.0785972722630657,-0.029985450228433,-0.307396502967116,-0.26616707932328,-0.144358655562759,-0.0349182292301262,-0.360266480877052,-0.247664404090335
2003,1.36377628331473,1.55485974872125,1.74558987286694,1.37810823157988,1.41236570577674,1.39951504925389,1.9857907315016,1.47009266483844,1.09289815179294,1.06912486568574,1.26082550085008,0.959281400125755,1.02530600608153,1.31013113189406,1.04136392215,0.677556203443107,0.678313213484189,0.943723707938612,1.15864058206966,1.10588924356374,1.02085451932772,0.817039489091201,0.572903616863857,1.55550938282995,0.890511652339259
2004,0.240863986450527,0.265135263075618,-0.384471953676731,0.221306312679233,0.400118078451635,0.503254756668266,0.668028258737184,0.675002899721233,0.405278548830367,0.527186689511768,0.550486462904191,0.460065011633692,0.318105479237613,0.69019345117593,-0.00869863301145696,0.286139222647846,0.488514720845679,0.680930310018911,0.74206275954466,-0.111872424924158,0.179101955637932,0.458738810214834,0.728456542846816,-0.241749745290428,0.131331386520641
2005,-1.14185760508378,-1.29343174116253,-1.28379274956269,-1.24669892846928,-1.4388706197339,-1.53371850709411,-1.94557764484318,-1.66635174419521,-1.09289159285204,-1.08473368521885,-1.11404608713297,-1.05809595643943,-0.826487181831045,-1.37666929555451,-0.508400613697673,-0.634106436406126,-0.791334161251163,-1.17713652109378,-1.25455237368476,-0.278839989633822,-0.538793620441343,-0.776245542582907,-0.902957185859993,-0.324484009586869,-0.441637363460853
2006,1.76322658906098,2.15012709038401,3.67130545544948,1.63412776556414,1.47213417137844,1.51632231278691,1.98772833017668,1.28422096817182,1.26199191624461,0.99015329646906,0.869096133402823,1.1409450117053,0.929641104736562,1.22177288235927,1.14432569733925,1.0208522888473,0.982428310979583,1.09503735006724,1.18411695943886,1.26029513070629,1.00718967447487,0.919019038148146,0.855401085007131,1.03918575022543,0.825177909061969
2007,-2.34639971506338,-2.45062444896178,-3.46913494891479,-1.87588566873587,-1.67044967095603,-1.44353306654994,-1.64668771072079,-1.20176529487122,-1.69194429057752,-1.30989320594247,-1.11895443622025,-1.71096201367188,-1.41157071877031,-1.67222093759755,-1.67036914535098,-1.57561505565351,-1.71514962540527,-1.89176037205434,-1.92260475988757,-1.59124483613501,-1.64337744982116,-1.74485855942869,-1.92271324946128,-1.43574966657098,-1.22750409483619
2008,-0.939534271750441,-1.38590120801506,-1.86931288724432,-1.17195333113641,-1.50915049394574,-1.41046776694536,-2.48345552366213,-1.80535949590089,-1.4416059421375,-1.46528280239473,-1.57754879617347,-1.2825629032862,-1.25637172243246,-1.40041796466947,-1.43602354864456,-1.22327636778004,-1.08641511346817,-1.05823701186333,-1.04700510442349,-1.66023724513487,-1.31193971185303,-1.06460372339625,-0.805980001355538,-1.74892981791336,-1.30340318154951
2009,0.0977162513396057,0.23130376652972,0.875445710820749,0.499972373308357,0.339075943518107,0.124351626487026,0.201552220306637,0.11671876145587,0.173794003754802,0.104440539148506,0.0226369097642185,0.021779099809101,0.03578479017162,-0.062861234741618,0.0667889721975854,-0.0207131466270627,-0.113487420982015,-0.170008109925748,-0.157932254087356,0.133477901068295,-0.0348388119518672,-0.1781806404922,-0.310817889138154,0.185664865658271,0.151290989288914
