SOURCE,X,Y,YEAR,maxtJan,maxtFeb,maxtMar,maxtApr,maxtMay,maxtJun,maxtJul,maxtAug,maxtSep,maxtOct,maxtNov,maxtDec,mintJan,mintFeb,mintMar,mintApr,mintMay,mintJun,mintJul,mintAug,mintSep,mintOct,mintNov,mintDec,pcpJan,pcpFeb,pcpMar,pcpApr,pcpMay,pcpJun,pcpJul,pcpAug,pcpSep,pcpOct,pcpNov,pcpDec
USA,-1950000,25000,2017,2.91,3.79,9.33,9.36,14.88,20.23,24.76,23.64,17.88,16.33,9.94,10.6,-7.63,-5.82,-3.33,-2.7,1.69,5.98,10.31,9.77,5.09,1.23,-0.26,-2.59,668.09998,498.82001,129.52,173.14,26.91,10.12,0.9,19.75,44.79,20.15,228.85001,14.16
USA,-1950000,25000,2018,8.28,6.11,5.07,11.13,14,21.03,25.41,24.11,21.15,14.13,11.14,5.8,-2.85,-7.03,-6.03,-1.87,2.05,6.14,11.43,9.08,6.14,1.23,-1.43,-5.58,119.88,32.17,381.85001,105.03,28.28,0.25,13.15,3.35,2.71,22.91,170.77,68.1
USA,-1950000,25000,2019,6.34,0.01,5.39,11.31,11.21,19,22.29,23.8,18,14.71,11.38,4.54,-5.11,-10.04,-5.9,-0.91,-0.56,5.06,8.31,8.95,4.47,-0.48,-1.67,-5.12,236.38,428.26001,170.59,39.37,98.55,9.47,15.07,1.12,17.38,1.95,61.66,203.49001
USA,-1950000,25000,2020,6.33,8.93,4.8,10.82,15.13,19.2,24.01,25.14,22.57,19.45,9.76,7.49,-5.22,-4.9,-6.13,-1.62,1.86,4.74,8.73,10.43,7.95,4.1,-3.13,-5.13,48.4,4.92,132.89,97.72,44.76,11.58,10.12,7.37,6.72,1.69,72.67,86.92
USA,-1950000,-25000,1999,9.37,8.2,9.46,10.86,18.13,21.84,26.48,25.4,25.89,22.15,14.15,10.59,-0.61,-2.69,-1.92,-0.46,4.33,8.26,12.07,10.64,10.86,7.25,2.37,-0.9,220.25,211.37,71.1,88.92,16.63,17.8,2.98,3.18,7.08,14.74,75.71,6.19
USA,-1950000,-25000,2000,7.71,7.78,11.23,15.53,19.24,25.1,26.08,27.44,23.48,16.31,9.94,11.41,-0.89,-1.81,-0.51,2.62,5.99,10.75,11.4,12.65,9.14,4.21,-1.43,0.78,313.63,336.64999,50.27,64.33,52.45,17.3,0.1,3.03,18.66,84.13,25.8,25.84
USA,-1950000,-25000,2001,7.48,5.45,13.21,11.05,24.01,24.73,26.23,28.72,25.57,21.41,11.73,5.59,-2.94,-3.37,0.41,-0.6,9.05,10.15,12.47,13.71,11.02,7.71,1.25,-2.84,130.88,166.48,81.52,119.69,1.85,0.23,11.75,0.46,9.76,31.02,174.81,242.56
USA,-1950000,-25000,2002,7.61,11.69,10.17,13.91,17.98,24.82,29.22,27.38,24.94,18.2,13.68,6.39,-3.04,-0.5,-1.59,1.82,4.58,10.22,14.66,12.35,10.22,4.48,2.31,-2.5,68.76,53,111.11,46.37,41.72,2.17,0.89,0.29,8.82,5.09,209.3,271.84
USA,-1950000,-25000,2003,12.41,8.38,12.05,8.93,17.95,24.7,29.29,26.33,26.84,22.81,8.91,6.63,1.87,-2.07,0.07,-1.22,5.18,10.55,14.76,12.65,12.2,8.13,-1.08,-1.92,23.48,73.22,82.2,191.17999,60.67,0.95,11.47,19.34,4.42,3.6,79.31,269.62
USA,-1950000,-25000,2004,7.85,6.05,16.23,15.33,19.3,24.47,27.86,27.53,24.35,15.67,10.16,9.14,-2.49,-3.1,3.08,2.72,5.13,10.01,13.42,12.73,9.15,3.96,-0.78,-0.49,75.95,211.87,33,13.46,17.15,4.92,1.61,1.32,4.22,202.58,50.26,167.57001
USA,-1950000,-25000,2005,6.91,8.32,11.08,11.77,16.97,20.67,29.66,28.02,22.2,18.11,13.84,8.74,-1.46,-0.97,-0.14,-0.35,4.91,7.18,15.08,13.61,7.33,4.71,2.72,0.04,301.26001,162.87,213.52,56.55,126.68,6,0.95,7.16,12.83,23.66,49.76,347.67001
USA,-1950000,-25000,2006,7.56,10.54,5.08,11.26,20.04,25.55,29.7,27.21,24.89,17.23,12.35,8.06,-2.35,-1.35,-4.47,0.81,6.66,11.5,15.26,11.87,9.74,4.31,1.44,-1.72,213.60001,117.33,246.46001,218.21001,29.62,2.06,7.41,0.24,0.54,30.16,49.93,115.1
USA,-1950000,-25000,2007,8.03,8.42,14.42,14.37,20.42,24.87,28.77,28.66,22.28,17.47,15.72,6.24,-3.46,-1.42,0.99,2.14,6.49,10.03,14.17,13.43,8.34,4.25,3.29,-3.51,33.25,181.08,32.27,40.01,14.55,1.23,1.71,5.15,14.29,26.39,10.3,115.51
USA,-1950000,-25000,2008,5.03,8.32,11.74,14.54,18.08,25.06,29.02,29.26,26.17,19.62,14.1,7.56,-3.5,-1.96,-0.71,0.87,5.34,10.17,14.38,13.99,11.07,5.75,3.05,-2.88,259.51001,175.89999,19.07,2.68,38.93,0.45,3.07,0.29,0.51,41.02,112.04,135.27
USA,-1950000,-25000,2009,10.97,7.2,10.39,13.62,21.58,20.94,29.18,27.35,26.77,16.72,13.56,6.33,0.3,-2.44,-1.56,0.54,8.18,8.46,14.51,12.44,11.78,3.6,1.5,-2.77,127.64,186.45,124.53,34.04,64.03,19.64,0.8,6.18,1.85,140.14,15.57,153.00999
USA,-1950000,-25000,2010,7.48,7.76,10.42,10.27,13.83,23.12,28.25,26.56,25.31,16.99,10.45,7.47,-1.03,-1.54,-1.6,-1.14,1.71,9.44,13.76,11.7,9.88,5.84,-0.31,-1,158.94,154.78,96.88,141.37,52.82,0.93,1.32,0.29,0.1,163.75,143.42,376.28
USA,-1950000,-25000,2011,10.05,7.16,8.31,12.22,14.61,20.16,26.23,27.58,25.99,18.81,10.91,9.74,-0.93,-4.07,-1.65,-0.14,2.06,7.29,12.22,12.41,11.73,5.87,-0.13,-1.91,71.32,160.17,319.92001,41.16,69.79,49.71,3.13,1.01,17.56,62.49,35.47,0.58
USA,-1950000,-25000,2012,11.12,9.07,9.96,14.07,19.98,23.72,27.73,30,26.97,19.21,12.64,5.74,-0.34,-2.09,-1.54,1.63,5.56,9.07,12.82,15.2,12.36,6.02,1.93,-2.64,137.69,46.43,147.57001,94.62,5.67,10.42,1.61,5.16,0.46,33.6,150.27,284.67999
USA,-1950000,-25000,2013,7.47,9.14,13.38,16.19,18.91,25.27,29.33,27.15,23.76,17.31,13.29,10.04,-3.69,-3.02,0.92,2.86,6.01,11.22,15.22,12.36,9.62,3.88,1.98,-1.34,34.31,21.6,61.76,31.51,25.28,3.93,4.72,2.06,11.97,22.78,26.5,31.2
USA,-1950000,-25000,2014,13.49,10.12,12.78,15.29,19.38,25.38,28.8,27.09,25.15,21.41,14.12,8.31,1.81,-0.09,0.8,2.63,6.13,10.61,15.32,13.29,11.26,7.29,2.47,-0.5,47.16,142.57001,100.92,65.12,19.96,2.51,13.77,3.1,24.41,6.62,63.65,154.56
USA,-1950000,-25000,2015,12.94,14.14,15.88,14.94,16.1,26.26,26.35,28.47,25.49,19.83,9.67,6.08,1.4,2.22,2.79,1.96,4.93,12.29,13.19,13.78,11.62,7.68,-1.39,-3.68,4.15,94.35,14.56,64.55,45.57,9.22,30.24,1.52,5.14,57.5,114.46,192.25
USA,-1950000,-25000,2016,6.66,13.73,11.97,15.15,17.45,25.7,28.95,28.77,24.57,17.48,13.46,8.35,-2.25,1.13,0.39,3,5.4,11.56,13.79,13.74,9.33,4.96,1.77,-1.97,236.81,40.61,190.39999,75.35,27.72,7.18,0.62,0.55,2.57,185.25,61.46,208.82001
USA,-1950000,-25000,2017,4.91,7.18,12.68,13.54,19.42,24.95,29.64,28.6,22.6,20.4,13.44,13.52,-3.24,-1.41,0.74,1.47,6.24,11.07,15.23,14.9,9.31,5.47,2.77,1.25,528.98999,416.07001,104.21,146.3,16.32,7.74,0.41,4.86,22.51,14.1,146.87,8.23
USA,-1950000,-25000,2018,11.71,9.87,8.61,15.42,18.04,25.31,29.68,28.41,25.77,18.27,14.45,8.5,1.2,-2.42,-2.1,1.94,5.71,10.49,16.08,13.67,10.58,5.33,2.72,-1.3,123.43,27.66,354.81,90.88,18.73,0,4.62,0.73,1.56,25.98,176.27,59.9
USA,-1950000,-25000,2019,8.94,2.92,8.76,15.45,14.33,23.87,26.95,28.09,22.99,18.56,14.93,7.13,-0.94,-5.89,-1.8,2.83,3.05,10.28,12.97,13.5,8.97,3.91,2.24,-1.73,190.13,369.60999,167.82001,36.06,126.7,6,1.69,0.11,7.65,1.03,51.57,170.48
USA,-1950000,-25000,2020,9.34,12.66,8.49,14.21,19.61,23.93,28.68,29.44,26.66,23.29,13.53,10.74,-1.85,-0.43,-1.77,2.31,6.18,9.16,13.66,15.08,12.54,8.59,0.97,-0.64,38.41,3.63,125.69,90.78,47.53,3.74,1.78,2.02,2.51,0.64,49.49,69.5
USA,-1950000,-50000,1999,9.19,8.37,8.82,10.35,17.34,21.13,25.69,24.82,25.43,21.56,13.77,10.67,-0.84,-3.02,-2.31,-1.12,3.77,7.65,11.53,10.22,10.68,7.36,2.37,-0.67,226.96001,203.28,80.93,95.11,17.13,16.76,4.99,2.83,8.13,11.64,77.28,6.24
USA,-1950000,-50000,2000,7.52,7.69,10.94,14.88,18.56,24.33,25.02,26.87,23.05,15.67,9.84,11.84,-1.02,-2.12,-0.94,2.12,5.51,10.23,10.82,12.25,8.88,3.92,-1.55,1.07,326.56,371.92001,55.93,68.41,49.96,17.17,0.07,2.6,17.33,98.13,24.74,26.37
USA,-1950000,-50000,2001,7.75,5.42,13.18,10.15,23.86,24.02,25.48,28.01,25.03,20.92,11.57,5.92,-3.17,-3.82,-0.24,-1.35,8.32,9.27,11.77,13.23,10.79,7.7,1.01,-3.21,144.06,185.64,91.29,135.10001,2.05,0.13,12.82,0.41,7.81,35.73,185.61,264.35999
USA,-1950000,-50000,2002,7.87,11.73,9.79,13.26,17.28,24.07,28.45,26.73,24.29,17.64,13.57,6.35,-3.17,-0.56,-1.87,1.25,4.14,9.66,14.09,11.79,9.82,4.35,2.35,-2.7,77.19,53.82,118,47.86,43.82,2.04,0.79,0.19,8.11,5.83,221.57001,287.69
USA,-1950000,-50000,2003,13.26,8.28,11.65,8.25,17.34,23.97,28.59,25.61,26.28,22.26,8.78,6.92,2.01,-2.29,-0.38,-1.72,4.69,9.97,14.26,12.3,12.04,8.05,-1.21,-1.84,23.38,88.31,87.89,193.31,65.83,0.78,12.82,18.85,4.61,4,77.35,279.78
USA,-1950000,-50000,2004,8.34,5.95,15.83,14.57,18.47,23.6,27.05,26.86,23.65,15.14,10.06,9.44,-2.49,-3.32,2.64,2.29,4.6,9.41,12.79,12.28,8.86,3.68,-0.97,-0.43,79.24,223.56,35.26,17,16.4,4.36,1.93,1.01,3.65,215.17999,53.66,188.12
