"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1,0.475138121546961,0.475138121546961,1,-0.0266134260158606,0,-0.0580110497237569,-0.0266134260158606,-0.0266289124448789,-0.223756906077348,-0.170954355938023,0,-0.0266134260158606,-0.0710814694454241,0,-0.04986168714859,0.0580110497237569,0.0326611864986816,-0.0859256917941097,0.0236938231484747,-0.136551854032741,-0.162802192981248,0.0326611864986816,-0.0580110497237569,0,-0.0236938231484747,0.0266134260158606,0.0266134260158606,0.282454193741462,-0.0634213439432715,0,0,-0.0236938231484747,-0.0236938231484747,0,0.0580110497237569,0,0.0580110497237569,0,0,-0.17044843698416,-0.15006087994034,0.297865205295111,0,0.0455172846775803,0,0.0236938231484747,-0.0266134260158606,0.0228115080135948,-0.19009590011329,-0.121092668789433,-0.165745856353591,-0.0326611864986816,0.0326611864986816,-0.0474873210938953,-0.0427385889845057,-0.0552486187845304,-0.248618784530387,-0.167284392099695,-0.175716151549233,0,0,-0.0367324581952906,0.382017565231023,0.0236938231484747,0,-0.0580110497237569,0,0,-0.168508287292818,-0.178414796948555,-0.477774362284735,-0.167284392099695
"2",0.475138121546961,1,1,0.475138121546961,0,0,0,0,0,-0.223756906077348,-0.170954355938023,0,0,0,0,0,0,0,-0.128888537691165,0,-0.136551854032741,-0.168053876625805,0,0,0,0,0,0,-0.0896061580145329,-0.347794466785682,0,0,0,0,0,0,0,0,0,0,0.258494649466044,0.278684491317774,-0.0169241593917676,-0.427385889845057,0,0,0,0,-0.482843586287756,-0.21670932612915,-0.170954355938023,-0.223756906077348,0,0,-0.0237436605469476,-0.0213692944922529,-0.0276243093922652,-0.248618784530387,-0.193897818115555,-0.175716151549233,0,0,-0.0388314558064501,0.738847159128132,0,0,0,0,0,0.301104972375691,-0.180513794559714,-0.480308974286245,-0.193897818115555
"3",0.475138121546961,1,1,0.475138121546961,0,0,0,0,0,-0.223756906077348,-0.170954355938023,0,0,0,0,0,0,0,-0.128888537691165,0,-0.136551854032741,-0.168053876625805,0,0,0,0,0,0,-0.0896061580145329,-0.347794466785682,0,0,0,0,0,0,0,0,0,0,0.258494649466044,0.278684491317774,-0.0169241593917676,-0.427385889845057,0,0,0,0,-0.482843586287756,-0.21670932612915,-0.170954355938023,-0.223756906077348,0,0,-0.0237436605469476,-0.0213692944922529,-0.0276243093922652,-0.248618784530387,-0.193897818115555,-0.175716151549233,0,0,-0.0388314558064501,0.738847159128132,0,0,0,0,0,0.301104972375691,-0.180513794559714,-0.480308974286245,-0.193897818115555
"4",1,0.475138121546961,0.475138121546961,1,-0.0266134260158606,0,-0.0580110497237569,-0.0266134260158606,-0.0266289124448789,-0.223756906077348,-0.170954355938023,0,-0.0266134260158606,-0.0710814694454241,0,-0.04986168714859,0.0580110497237569,0.0326611864986816,-0.0859256917941097,0.0236938231484747,-0.136551854032741,-0.162802192981248,0.0326611864986816,-0.0580110497237569,0,-0.0236938231484747,0.0266134260158606,0.0266134260158606,0.282454193741462,-0.0634213439432715,0,0,-0.0236938231484747,-0.0236938231484747,0,0.0580110497237569,0,0.0580110497237569,0,0,-0.17044843698416,-0.15006087994034,0.297865205295111,0,0.0455172846775803,0,0.0236938231484747,-0.0266134260158606,0.0228115080135948,-0.19009590011329,-0.121092668789433,-0.165745856353591,-0.0326611864986816,0.0326611864986816,-0.0474873210938953,-0.0427385889845057,-0.0552486187845304,-0.248618784530387,-0.167284392099695,-0.175716151549233,0,0,-0.0367324581952906,0.382017565231023,0.0236938231484747,0,-0.0580110497237569,0,0,-0.168508287292818,-0.178414796948555,-0.477774362284735,-0.167284392099695
"5",-0.0266134260158606,0,0,-0.0266134260158606,1,0,-0.0266134260158606,-0.0122093023255814,-0.407795298786572,0.26233234215634,0.243997712532167,-0.021785510047515,-0.0122093023255814,0.453429754750133,0.0815381710784924,-0.0228747855498907,0.0266134260158606,0.0149838017862469,0.0197098402141798,0.219468283121069,-0.132250936017555,0.537752959118305,0.0149838017862469,-0.0266134260158606,0,0.419784852856573,0.387790697674419,0.0122093023255814,0.432529216502232,0.169880051369835,0.0816956626781811,0.504387788300595,0.437383724616282,0.48862749826955,0.519584414633232,0.0266134260158606,0.308254061394301,0.16601708609894,0,0.698285606416151,0.317961479229941,-0.197728500359076,-0.0108698913809963,0,-0.317203372854135,-0.017428408038012,0.0108698913809963,-0.2,-0.0122093023255814,0.0122093023255814,0.0228747855498907,0.0266134260158606,-0.0149838017862469,0.0149838017862469,-0.165569876361114,-0.021785510047515,0,0,0.0122093023255814,-0.0149282185648598,0,-0.370732162138833,0.0101109346914029,0.0101109346914029,-0.527966152791251,-0.635401113648252,-0.0266134260158606,-0.236659569715624,-0.352006250753492,0,0.247958636479644,-0.197674418604651,0.0122093023255814
"6",0,0,0,0,0,1,0.472375690607735,-0.387795636231111,-0.0228247820956105,0,0,-0.555601656798575,0.408072532243195,-0.218885794800195,-0.0411823051844774,-0.218441677031918,-0.472375690607735,0.561461348858288,-0.0552379447247848,0.171498148503245,-0.197241566936181,-0.168053876625805,0,-0.328729281767956,-0.579345317345522,0.232425122313609,0.482843586287756,-0.387795636231111,0.609711466490191,0.718093281422203,0,0,0.212116131043488,0.254990668169299,0.427385889845057,0,0.741281493320594,0,0.301104972375691,0,0,0,0.36781839744775,0.360903640313604,0.368473256913746,0,0,0,-0.2407881401435,-0.0722364420430501,-0.216067310977223,-0.248618784530387,-0.0606564892118372,0,0,0,0,-0.276243093922652,0.00126730600075526,-0.0488100420970091,0,0,0,-0.178414796948555,0,0,0,0.370640746660297,0.370640746660297,-0.276243093922652,-0.15742482083696,0,-0.215442020128395
"7",-0.0580110497237569,0,0,-0.0580110497237569,-0.0266134260158606,0.472375690607735,1,-0.00506922400302106,-0.00380413034926842,0,0,-0.173328721992718,-0.0202768960120842,0.143291216183633,0,0.161456891719244,0.0552486187845304,0.59412253535697,-0.284373122842411,0.576549696612885,0.190739097696527,-0.129191417656087,0.0326611864986816,0.220994475138122,-0.194698016484971,0.549471041586056,0.506922400302106,0.0481576280287,0.202587835511118,0.333473518153331,0,0,0.526905495730366,0.617167679153127,0.429760255899752,0.0580110497237569,0.286108646544791,0.0580110497237569,0.798342541436464,0,0.0237047495143534,-0.0236938231484747,-0.0225655458556902,-0.0926002761330958,-0.0368473256913746,0,0.0236938231484747,-0.0266134260158606,-0.243322752145011,-0.449893630268119,-0.588842781564301,-0.165745856353591,-0.0311058919035063,0.0326611864986816,0,0,0,-0.248618784530387,-0.432151346257545,-0.0130160112258691,0.475138121546961,0,0.0220394749171744,-0.138533842336525,0.0236938231484747,0,-0.0580110497237569,0.370640746660297,0.370640746660297,-0.248618784530387,-0.11964286383609,0.0266134260158606,-0.167284392099695
"8",-0.0266134260158606,0,0,-0.0266134260158606,-0.0122093023255814,-0.387795636231111,-0.00506922400302106,1,-0.190226908278472,0,-0.0196069590427635,0.296282936646203,-0.387790697674419,-0.0678074176624058,0.145177719237316,-0.0566423261235389,-0.0735037480438053,-0.215481339973646,-0.0976106372511761,0.0284687631407047,-0.353994986633455,0.0101190072952369,0.215481339973646,-0.00506922400302106,0.27667597760344,-0.0460676349004131,-0.175581395348837,0.511627906976744,-0.267649794095906,-0.322865953984659,0,0,-0.0284687631407047,-0.0460676349004131,-0.185176835403877,0.242055446144256,-0.304276589634374,-0.19009590011329,-0.0215442020128395,-0.21670932612915,-0.0155355771610721,-0.0150108023832807,-0.310050711296039,-0.333318303726979,-0.0527015008190256,-0.226569304494156,0.571445718315236,-0.2,-0.0319767441860465,-0.2,-0.0609994281330419,-0.504387788300595,-0.245448943546139,-0.269708432152444,-0.0196069590427635,-0.017428408038012,-0.0228115080135948,-0.0228115080135948,-0.222093023255814,-0.146794149221121,0.43088404025679,-0.194634385122887,0.491102542153857,0.41599274158915,0.0108698913809963,0,-0.0278807320166158,-0.152138294817187,-0.152138294817187,0,0.0101109346914029,0.0122093023255814,0.0122093023255814
"9",-0.0266289124448789,0,0,-0.0266289124448789,-0.407795298786572,-0.0228247820956105,-0.00380413034926842,-0.190226908278472,1,-0.00126804344975614,-0.0239780058082049,0.186374499691047,0.594531805078283,0.364094298628976,0.363155496422535,0.555853771008387,-0.201618908511226,0.269865376263574,0.482702525970167,-0.0688827051460225,0.50941264155709,-0.3582284481884,0.0149925209035319,0.623877377280021,0.224521327113192,-0.0512735925523025,-0.0285049495585478,-0.165794094371145,-0.206107435841259,-0.092971887297756,-0.209262596144334,-0.0494536945404895,-0.0699185352985943,-0.0450586116368719,0.0217981870983681,0.0266289124448789,-0.170135862707544,-0.23966021200391,0.194010647812689,-0.266289124448789,-0.15648248140419,-0.0108762166020036,0.49201932247159,0,0.416882610961759,0,0.0108762166020036,-0.0122164069536633,-0.0122164069536633,0.0122164069536633,-0.134058850654964,0.0266289124448789,0.729636017305219,0.0149925209035319,0,0,0,0,0.0122164069536633,0.261395843416902,-0.4336708598166,0.436409284998269,0.0101168182733332,0.0101168182733332,0.424172447478139,0.397978626216477,-0.0266289124448789,0.278585038351534,0.397978626216477,0,-0.121401819279998,0.0122164069536633,0.0122164069536633
"10",-0.223756906077348,-0.223756906077348,-0.223756906077348,-0.223756906077348,0.26233234215634,0,0,0,-0.00126804344975614,1,0.816781922814998,0,0,-0.152317434525909,-0.136551854032741,0,0,0,0,-0.213244408336272,-0.0151724282258601,0.0472651528010076,0,0,0,-0.362177010983828,-0.193897818115555,0,-0.0681785984893185,0.245501976554599,-0.427385889845057,-0.497237569060774,-0.362177010983828,-0.17262642579603,-0.170954355938023,0,0.39014815437926,-0.248618784530387,0,-0.248618784530387,0.565527595556716,-0.0417462598330269,0,0,-0.0628572026499919,0,0,0,0,0,0,0,0,0,-0.213692944922529,-0.192323650430276,-0.248618784530387,0,0,0,0,-0.0237679259191944,-0.160573317253699,-0.141682338753264,-0.0440028144185959,-0.0216748974655144,0,-0.0151724282258601,-0.0216748974655144,0,-0.283364677506528,-0.00126730600075526,0
