SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ftc,CA,1521036.1221,730940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,369,-235,-258,0
ftc,CA,1546036.1221,730940.451099999,5,0,0,0,0,0,0,0,14,20,108,-142,0,0,0,0,0,0,225,-23,-202,0
ftc,CA,1571036.1221,730940.451099999,5,0,0,0,0,0,0,0,27,2,11,-40,0,0,0,0,0,0,50,207,-257,0
ftc,CA,921036.1221,755940.451099999,4,0,31,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,12,133,-81,-64,0
ftc,CA,946036.1221,755940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,64,-148,0
ftc,CA,1046036.1221,755940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,-7,-8
ftc,CA,1071036.1221,755940.451099999,5,0,264,-214,-50,2,-2,0,0,0,0,0,0,0,0,0,0,0,29,-8,-21,0
ftc,CA,1096036.1221,755940.451099999,8,75,539,-139,-394,-81,0,0,0,0,0,0,0,0,0,0,0,3,148,9,-156,-4
ftc,CA,1121036.1221,755940.451099999,9,76,578,-82,-403,-108,-38,-23,0,0,0,0,0,0,0,0,0,0,3,68,-5,-66
ftc,CA,1221036.1221,755940.451099999,3,51,550,-601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-6,0
ftc,CA,1246036.1221,755940.451099999,5,11,582,-389,-204,0,0,0,0,0,0,0,0,0,0,0,0,0,62,15,-77,0
ftc,CA,1271036.1221,755940.451099999,3,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,-8,-25,0
ftc,CA,1396036.1221,755940.451099999,3,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,30,-23,-7,0,0
ftc,CA,1421036.1221,755940.451099999,5,0,0,0,0,0,0,0,0,0,0,76,-66,-10,0,0,0,47,-43,108,-112,0
ftc,CA,1446036.1221,755940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,177,-32,-151,0
ftc,CA,1471036.1221,755940.451099999,4,0,0,0,0,0,0,0,0,0,0,42,-42,0,0,0,0,15,259,508,-782,0
ftc,CA,1496036.1221,755940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,428,291,-1416,0
ftc,CA,1521036.1221,755940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,82,584,-1088,0
ftc,CA,1546036.1221,755940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,615,-215,-446,0
ftc,CA,871036.122099999,780940.451099999,5,0,16,51,-10,-57,0,0,0,0,0,0,0,0,0,0,0,0,35,20,-55,0
ftc,CA,896036.122099999,780940.451099999,6,11,87,-60,30,-68,0,0,0,0,0,0,0,0,0,0,0,0,15,34,-49,0
ftc,CA,921036.1221,780940.451099999,5,0,142,-84,-58,0,0,0,0,0,0,0,0,0,0,0,0,20,63,160,-243,0
ftc,CA,946036.1221,780940.451099999,4,0,10,-8,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,272,205,-477,0
ftc,CA,996036.1221,780940.451099999,6,0,2,263,-261,-4,0,0,0,0,0,0,0,0,0,0,0,0,148,264,-410,-2
ftc,CA,1021036.1221,780940.451099999,6,0,2,41,-43,0,0,0,0,0,0,0,0,0,0,0,0,3,96,176,-264,-11
ftc,CA,1046036.1221,780940.451099999,6,0,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,30,71,55,-155,-1
ftc,CA,1071036.1221,780940.451099999,9,1,42,120,-152,-8,-3,0,0,45,-45,0,0,0,0,0,0,85,189,-86,-188,0
ftc,CA,1096036.1221,780940.451099999,11,4,826,393,-1115,-53,-53,21,68,-91,0,0,0,0,0,0,0,42,115,-50,-107,0
ftc,CA,1121036.1221,780940.451099999,9,0,171,1113,-1115,-78,55,-2,-144,2,-2,0,0,0,0,0,0,0,109,-67,-42,0
ftc,CA,1146036.1221,780940.451099999,4,0,41,119,-160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,-37,0
ftc,CA,1171036.1221,780940.451099999,6,15,434,214,-594,1,-70,0,0,0,0,0,0,0,0,0,0,0,0,6,-6,0
ftc,CA,1196036.1221,780940.451099999,6,60,1065,-626,393,-259,-582,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,CA,1221036.1221,780940.451099999,9,3,399,30,235,-47,-567,-53,85,-85,0,0,0,0,0,0,0,0,7,20,-27,0
ftc,CA,1246036.1221,780940.451099999,6,0,271,-261,-10,0,52,54,-106,0,0,0,0,0,0,0,0,0,13,89,-102,0
ftc,CA,1271036.1221,780940.451099999,3,0,13,-13,0,0,0,36,-36,0,0,0,0,0,0,0,0,0,18,-18,0,0
ftc,CA,1471036.1221,780940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,280,-247,-40,0
ftc,CA,1521036.1221,780940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,680,33,-718,0
ftc,CA,1546036.1221,780940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,354,77,-437,0
ftc,CA,871036.122099999,805940.451099999,3,0,0,0,44,-44,0,0,0,0,0,0,0,0,0,0,0,0,26,-10,-16,0
ftc,CA,896036.122099999,805940.451099999,6,0,28,-21,786,-793,0,0,0,0,0,0,0,0,0,0,0,21,764,-285,-500,0
ftc,CA,921036.1221,805940.451099999,5,0,1,-1,97,-97,0,0,0,0,0,0,0,0,0,0,0,75,543,-159,-459,0
ftc,CA,996036.1221,805940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,281,-313,-1
ftc,CA,1021036.1221,805940.451099999,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,182,-237,-9
ftc,CA,1071036.1221,805940.451099999,6,0,2,208,-210,0,0,0,0,42,-42,0,0,0,0,0,0,19,142,326,-487,0
ftc,CA,1096036.1221,805940.451099999,12,123,1295,774,-1944,49,-33,320,-152,-237,-195,0,0,0,0,0,0,139,335,-219,-255,0
ftc,CA,1121036.1221,805940.451099999,12,146,1091,1263,-805,-140,808,-443,45,-1748,-217,0,0,0,0,0,0,8,80,41,-129,0
ftc,CA,1146036.1221,805940.451099999,9,12,-12,2034,-1654,84,75,-90,-296,-153,0,0,0,0,0,0,0,0,0,48,-47,-1
ftc,CA,1171036.1221,805940.451099999,10,68,257,2153,-999,-271,-149,-210,364,-1086,-127,0,0,0,0,0,0,0,0,3,-3,0
ftc,CA,1196036.1221,805940.451099999,9,251,1100,943,206,-461,-124,-1589,-161,-159,-6,0,0,0,0,0,0,0,0,0,0,0
ftc,CA,1221036.1221,805940.451099999,11,31,1332,-624,1511,-1247,-431,-247,-301,-4,-20,0,0,0,0,0,0,0,6,11,-17,0
ftc,CA,1246036.1221,805940.451099999,10,0,114,-64,285,-318,203,-127,-38,-12,-43,0,0,0,0,0,0,0,1,7,-8,0
ftc,CA,1271036.1221,805940.451099999,3,0,0,0,12,-12,0,0,0,21,-21,0,0,0,0,0,0,0,3,-3,0,0
ftc,CA,1446036.1221,805940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,73,-71,-6,0
ftc,CA,1471036.1221,805940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,-15,-35,0
ftc,CA,1496036.1221,805940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,78,-8,-75,0
