SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
mpb,CA,-1553963.8779,1280940.4511,17,36,-147,46,124,458,8,-275,-315,203,-101,-146,-112,-16,-6,22,-13,9,-18,0,0,0
mpb,CA,-1528963.8779,1280940.4511,18,-1,11,3,11,305,683,-332,-244,226,-233,-247,-159,-38,0,6,-1,13,-12,-1,-5,0
mpb,CA,-1503963.8779,1280940.4511,16,15,15,69,-9,296,228,125,-94,243,-304,-121,-375,-89,-2,7,-7,6,-6,0,0,0
mpb,CA,-1478963.8779,1280940.4511,14,5,-3,-2,0,48,229,21,-21,332,-179,-52,-233,-81,-64,7,10,-17,2,-2,0,0
mpb,CA,-1453963.8779,1280940.4511,21,-3,-8,25,5,51,390,-167,70,327,-225,98,-210,-240,-68,-12,-43,14,-8,18,2,-15
mpb,CA,-1428963.8779,1280940.4511,22,-6,-19,22,27,97,378,-219,-83,473,-294,203,-320,-108,-110,-2,-37,-11,-6,18,1,-30
mpb,CA,-1403963.8779,1280940.4511,15,-1,-2,48,-4,206,24,-38,-56,173,-96,60,-198,-54,-25,-42,0,0,0,0,0,0
mpb,CA,-1378963.8779,1280940.4511,13,1,-5,3,33,22,288,-95,79,149,-166,48,-196,-151,-14,0,0,0,0,0,0,0
mpb,CA,-1353963.8779,1280940.4511,14,-14,0,18,2,45,113,-74,5,157,-31,38,-95,-139,-30,-9,8,-8,0,0,0,0
mpb,CA,-1328963.8779,1280940.4511,14,-4,-5,211,-90,310,114,-337,-82,58,54,74,-158,-139,-19,0,0,0,0,0,0,0
mpb,CA,-1778963.8779,1305940.4511,11,-2,7,11,11,27,50,-11,-40,-48,5,-8,-4,0,0,0,0,0,0,0,0,0
mpb,CA,-1753963.8779,1305940.4511,14,4,29,26,23,96,112,147,-4,-59,-82,-187,-76,-28,-2,0,0,0,0,0,0,0
mpb,CA,-1728963.8779,1305940.4511,18,-24,69,-50,0,109,57,355,166,85,-117,-306,-298,-66,-13,-23,3,-18,0,0,4,-4
mpb,CA,-1703963.8779,1305940.4511,18,-23,4,-35,9,14,44,104,13,61,-33,78,-259,34,-89,3,-9,0,-4,0,0,0
mpb,CA,-1678963.8779,1305940.4511,10,0,0,0,0,0,3,21,-24,11,25,43,6,2,-48,4,-38,-5,0,0,0,0
mpb,CA,-1653963.8779,1305940.4511,16,0,0,0,0,4,1,10,-9,5,3,24,61,118,42,52,-181,50,-161,-8,20,-31
mpb,CA,-1628963.8779,1305940.4511,16,-4,0,0,0,6,51,-23,1,1,-18,-13,33,74,10,-23,10,-57,-46,-6,7,-7
mpb,CA,-1603963.8779,1305940.4511,13,0,0,0,0,37,148,0,-16,135,-49,-107,12,84,16,-68,-70,-80,-42,0,0,0
mpb,CA,-1578963.8779,1305940.4511,21,-4,-23,8,47,229,250,-136,-97,145,-83,-198,-33,-59,-5,-52,21,-34,2,-4,2,-8
mpb,CA,-1553963.8779,1305940.4511,17,-10,4,13,11,395,194,-150,-149,-16,-58,-102,-88,-60,-3,6,-1,18,-23,0,0,0
mpb,CA,-1528963.8779,1305940.4511,12,1,-16,51,117,350,334,65,-512,144,-333,-179,-37,0,0,0,0,8,-8,0,0,0
mpb,CA,-1503963.8779,1305940.4511,13,4,5,29,-2,220,258,12,-206,72,-160,-170,-47,-15,0,0,0,0,0,0,0,3
mpb,CA,-1478963.8779,1305940.4511,11,0,0,0,5,3,258,-11,-89,374,-192,-37,-201,-69,-41,0,0,0,0,0,0,2
mpb,CA,-1453963.8779,1305940.4511,20,29,-31,4,-4,18,208,-127,-58,87,-39,87,-99,-25,-10,-19,-1,29,-32,-6,32,-25
mpb,CA,-1428963.8779,1305940.4511,19,0,0,4,2,31,148,-109,13,49,50,91,-71,-138,-13,61,-60,25,-28,12,-3,19
mpb,CA,-1403963.8779,1305940.4511,20,13,-13,34,-17,41,178,-120,13,226,73,168,-260,-64,4,-203,-18,4,3,78,-84,-27
mpb,CA,-1378963.8779,1305940.4511,13,0,0,0,1,34,204,-39,-3,190,-77,-67,-224,-13,-6,0,0,0,0,4,-2,0
mpb,CA,-1353963.8779,1305940.4511,15,0,7,-7,0,0,27,-16,1,48,9,68,-65,-38,-34,2,9,5,-16,4,12,20
mpb,CA,-1328963.8779,1305940.4511,11,0,0,6,62,191,41,-101,-110,82,46,-30,-128,-22,-37,0,0,0,0,0,0,0
mpb,CA,-1828963.8779,1330940.4511,10,0,0,0,4,0,0,5,-1,1,-7,3,-2,0,-3,0,0,0,0,0,0,0
