SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sm,USA,1500000,165000,8,0,4,1,-5,1,-1,0,0,4,53,63,-112,-7,-1,0,0,0,0,0,0,0,0
sm,USA,1500000,140000,3,0,1,2,-3,0,0,0,0,0,0,39,-39,0,0,0,0,0,0,0,0,0,0
sm,USA,1525000,340000,3,0,0,0,0,0,0,0,1,11,-12,0,2,-2,0,0,0,0,0,0,0,0,0
sm,USA,1525000,315000,3,0,0,0,0,0,0,0,2,5,-7,0,0,0,0,0,0,0,60,-60,0,0,0
sm,USA,1525000,265000,8,0,0,3,19,-20,-2,0,0,0,1,2,-2,-1,0,0,0,22,39,-61,0,0,0
sm,USA,1525000,240000,10,16,-5,14,12,-35,-2,0,0,0,0,15,4,-19,0,0,0,154,-36,-109,-9,0,0
sm,USA,1525000,215000,11,18,45,24,-89,0,0,0,0,0,27,44,-39,-30,-2,0,0,304,-268,-26,-10,0,0
sm,USA,1525000,190000,7,0,0,0,0,0,0,0,0,2,7,6,-12,-3,0,0,0,8,-6,0,-2,0,0
sm,USA,1550000,340000,5,0,10,-10,0,0,0,0,0,52,-51,-1,0,0,0,0,0,0,54,-36,-18,0,0
sm,USA,1550000,315000,7,0,0,0,0,0,0,0,0,42,-41,5,-6,0,0,0,0,10,38,-47,1,-2,0
sm,USA,1550000,290000,8,0,0,0,0,0,0,0,0,0,4,10,16,-30,0,0,0,24,78,-66,-1,-35,2
sm,USA,1550000,265000,10,0,0,0,0,0,0,0,0,4,5,12,-1,-14,-6,0,0,61,-13,-18,-28,-2,1
sm,USA,1550000,240000,9,1,-1,2,-1,-1,0,0,0,0,3,15,7,-25,0,0,0,169,-70,-73,-26,0,0
sm,USA,1550000,215000,10,0,0,28,-28,1,-1,0,0,0,7,12,31,-50,0,0,0,124,-77,-34,-12,5,-6
sm,USA,1550000,190000,4,0,0,0,0,0,0,0,0,0,5,-1,-3,-1,0,0,0,2,-2,0,0,0,0
sm,USA,1575000,390000,3,0,0,0,0,0,0,0,0,26,-19,-7,1,-1,0,0,0,0,0,0,0,0,0
sm,USA,1575000,340000,5,0,0,0,0,0,0,0,2,14,-15,-1,0,0,0,0,0,0,16,-16,12,-12,0
sm,USA,1575000,315000,10,0,0,0,0,0,0,29,6,13,1,19,-61,-7,0,0,0,8,122,-129,8,-9,0
sm,USA,1575000,290000,10,0,0,0,0,0,0,0,5,21,-5,77,-82,-16,0,0,2,13,63,-74,60,-64,0
sm,USA,1575000,265000,7,0,0,0,0,0,0,0,0,0,2,6,-3,-5,0,0,1,98,15,-85,-29,0,0
