SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
dfb,USA,-2025000,8e+05,15,0,6,-6,0,0,1,0,3,5,-5,-1,3,1,-7,6,-2,-2,-1,3,-3,-1,0,0
dfb,USA,-2025000,775000,15,0,5,-4,-1,0,0,5,-1,2,-4,1,-2,-1,0,1,1,-1,0,0,2,-3,4,-4
dfb,USA,-2025000,750000,22,1,4,-4,10,-10,0,17,-17,15,-9,-6,4,11,-11,0,0,5,-4,8,-8,-3,36,-39
dfb,USA,-2025000,725000,20,0,8,-7,6,-4,-3,5,-3,7,-6,-2,2,12,-12,-1,14,-10,0,-2,-1,-2,13,-14
dfb,USA,-2025000,7e+05,12,0,24,4,-22,-4,-2,0,1,0,-1,0,0,7,-4,-2,8,-7,3,-5,0,0,0,0
dfb,USA,-2025000,675000,15,1,39,8,-38,-6,-4,0,0,1,0,2,-3,10,-6,-2,1,0,2,-4,-1,0,0,0
dfb,USA,-2025000,650000,13,15,73,-21,-45,-22,0,0,0,3,-3,1,-1,15,-8,6,-11,4,3,-9,0,1,-1,0
dfb,USA,-2025000,625000,10,9,13,19,-31,-7,-3,0,0,1,-1,0,0,15,-14,3,-4,0,17,-17,0,0,0,0
dfb,USA,-2025000,6e+05,7,0,5,0,-4,-1,-1,0,0,0,0,0,0,4,-4,0,0,0,0,0,0,0,0,0
dfb,USA,-2025000,575000,6,2,3,6,8,-18,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
dfb,USA,-2025000,550000,5,1,17,-9,6,-14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfb,USA,-2e+06,1075000,3,0,0,0,0,0,0,0,2,-2,0,0,0,2,-2,1,-1,0,0,0,0,0,0,0
dfb,USA,-2e+06,1050000,8,0,0,4,-4,0,0,1,5,-6,0,2,-2,5,-4,1,-2,2,-2,0,0,0,0,0
dfb,USA,-2e+06,1025000,5,1,-1,0,0,0,0,1,-1,0,0,0,0,1,0,-1,0,0,0,1,-1,0,0,0
dfb,USA,-2e+06,1e+06,9,0,0,0,1,-1,0,1,-1,1,6,-6,-1,4,-4,3,0,-3,1,-1,0,0,0,0
dfb,USA,-2e+06,975000,15,-1,0,0,2,-2,0,3,-2,1,3,1,-4,1,5,4,-8,-1,16,-16,-3,0,0,0
dfb,USA,-2e+06,950000,16,0,2,-2,7,-7,1,12,-13,5,-2,3,-1,1,1,1,8,-10,-1,0,-2,-3,0,0
dfb,USA,-2e+06,925000,20,1,5,-2,-2,3,0,-1,6,-7,4,-5,22,-3,13,8,-39,-3,5,-2,-3,2,0,-2
dfb,USA,-2e+06,9e+05,18,0,1,2,-3,0,2,-2,4,0,1,1,1,-3,8,-2,-8,-1,6,-5,0,1,13,-16
dfb,USA,-2e+06,875000,16,0,3,-3,0,0,1,2,-2,5,-4,2,-2,2,-2,1,0,-2,5,-6,0,11,2,-13
dfb,USA,-2e+06,850000,15,0,5,-5,4,0,-4,1,0,5,1,-7,1,-1,0,2,-1,0,1,-1,0,-1,38,-38
