SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
wbbb,CA,-1403963.8779,1280940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-4,-2
wbbb,CA,-1378963.8779,1280940.4511,16,0,0,0,4,-2,53,-55,46,-28,-14,7,-1,-10,12,3,5,30,-49,67,17,-10
wbbb,CA,-1353963.8779,1280940.4511,20,-1,1,-1,1,13,45,-54,21,-21,-4,5,-4,4,3,0,1,82,-73,6,22,-9
wbbb,CA,-1328963.8779,1280940.4511,8,0,0,0,0,0,5,-5,2,-2,0,0,0,0,2,-1,-1,1,4,0,-4,-1
wbbb,CA,-1778963.8779,1305940.4511,3,0,0,0,0,0,0,0,0,0,0,3,-3,0,0,45,-45,0,0,4,-4,0
wbbb,CA,-1753963.8779,1305940.4511,8,0,0,0,1,2,4,5,-12,0,0,0,0,0,0,7,-7,1,-1,2,-1,-1
wbbb,CA,-1728963.8779,1305940.4511,3,0,0,0,0,0,0,0,0,0,0,1,-1,0,6,-6,0,0,0,0,0,1
wbbb,CA,-1703963.8779,1305940.4511,10,0,0,2,-2,0,0,8,-8,0,2,0,-1,3,-4,0,4,2,-5,0,-1,0
wbbb,CA,-1678963.8779,1305940.4511,5,0,0,0,0,0,0,2,-1,-1,6,-5,-1,1,-1,0,0,0,0,0,0,0
wbbb,CA,-1653963.8779,1305940.4511,17,0,0,1,3,-4,2,3,0,15,-10,0,-5,1,0,3,-9,15,-7,5,0,-10
wbbb,CA,-1628963.8779,1305940.4511,13,43,-44,0,2,-2,27,-27,5,4,-8,-1,2,-2,0,4,-4,1,1,-2,2,-1
wbbb,CA,-1603963.8779,1305940.4511,14,0,0,0,0,10,14,-18,5,5,-15,-1,1,0,1,0,1,0,-3,0,3,-2
wbbb,CA,-1578963.8779,1305940.4511,10,4,-4,0,6,-6,16,-4,6,-15,-1,-2,0,0,0,0,0,9,-9,6,-6,3
wbbb,CA,-1553963.8779,1305940.4511,14,0,0,0,0,11,42,-42,3,15,-22,-5,-2,0,2,3,-5,6,-2,5,-1,-6
wbbb,CA,-1528963.8779,1305940.4511,13,5,-8,-1,5,2,14,-16,21,-24,5,-7,0,0,0,0,0,10,-10,0,2,0
wbbb,CA,-1503963.8779,1305940.4511,19,-1,-1,0,15,-2,33,-8,-20,1,-14,-3,0,-1,4,-5,1,6,-4,-1,20,-15
wbbb,CA,-1478963.8779,1305940.4511,15,0,0,0,3,2,8,15,-18,-4,-6,2,0,-2,1,0,-1,24,-18,3,15,-20
wbbb,CA,-1453963.8779,1305940.4511,17,0,-3,2,-1,2,45,-42,14,-18,-2,3,-3,0,0,2,-1,7,-4,-2,1,-2
wbbb,CA,-1428963.8779,1305940.4511,21,5,25,-16,-12,36,33,-54,16,-30,6,-3,-2,1,8,-5,4,52,-41,27,-16,-24
wbbb,CA,-1403963.8779,1305940.4511,7,1,-1,0,0,0,0,1,3,-4,0,0,0,0,0,0,1,5,-6,20,-20,1
wbbb,CA,-1378963.8779,1305940.4511,15,0,0,0,1,3,15,-17,2,0,-3,0,1,-2,0,7,-4,6,-9,5,11,-3
wbbb,CA,-1353963.8779,1305940.4511,21,-3,2,6,-2,-3,84,-79,47,-26,-20,5,-5,-3,11,0,-3,40,-36,7,34,-15
wbbb,CA,-1328963.8779,1305940.4511,13,0,1,-1,2,-2,13,-13,2,-1,-1,1,-1,0,0,3,-2,19,-9,-8,7,-6
wbbb,CA,-1803963.8779,1330940.4511,13,0,0,0,0,0,0,1,14,4,-17,-1,0,1,-2,42,-32,-9,14,-10,-3,-2
wbbb,CA,-1778963.8779,1330940.4511,19,0,4,-1,7,-10,5,23,-14,-12,49,-43,0,70,253,-44,-228,9,-24,94,15,-31
wbbb,CA,-1753963.8779,1330940.4511,14,-14,0,3,-3,0,3,22,-25,0,0,0,6,37,-16,-4,3,-7,-3,7,-11,8
wbbb,CA,-1728963.8779,1330940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,6,-8,0,0,0
wbbb,CA,-1703963.8779,1330940.4511,21,-3,11,0,10,-11,2,62,-1,-11,-32,-21,36,19,-6,-3,35,36,-58,-2,-35,-16
wbbb,CA,-1678963.8779,1330940.4511,11,0,0,0,0,0,1,2,-1,1,3,-6,1,3,-4,3,-1,8,-8,-2,0,0
wbbb,CA,-1653963.8779,1330940.4511,21,-2,-1,4,-3,9,18,-9,25,-4,16,-36,0,4,-17,23,-14,18,-27,-2,-2,-4
wbbb,CA,-1628963.8779,1330940.4511,6,-4,0,0,0,0,1,-1,0,0,6,-5,-1,0,0,2,-2,0,0,0,4,-4
wbbb,CA,-1603963.8779,1330940.4511,20,22,-42,-8,3,1,130,-99,9,35,-59,-16,-4,7,-6,1,15,32,-47,17,-4,-10
wbbb,CA,-1578963.8779,1330940.4511,16,6,-5,-1,5,5,16,-19,24,-26,0,-5,0,2,11,-10,26,-12,-17,15,-7,-8
wbbb,CA,-1553963.8779,1330940.4511,19,-1,0,0,2,14,-2,-2,-2,8,1,-14,-1,-3,0,0,15,14,-29,2,8,-10
wbbb,CA,-1528963.8779,1330940.4511,16,0,0,0,0,0,24,-12,-4,11,-14,-4,18,-16,2,-3,13,3,-9,13,3,-18
wbbb,CA,-1503963.8779,1330940.4511,18,2,-2,0,0,16,0,-7,13,-5,-4,6,-17,5,-5,8,-8,46,-29,-16,21,-4
wbbb,CA,-1478963.8779,1330940.4511,19,-1,0,0,4,2,23,-8,5,-8,-12,6,-11,7,-6,24,-12,16,-16,12,7,-18
wbbb,CA,-1453963.8779,1330940.4511,12,0,0,0,0,0,22,-17,2,2,-6,0,-3,0,0,0,1,14,-14,5,2,4
wbbb,CA,-1428963.8779,1330940.4511,14,0,0,0,0,0,20,-14,1,0,-3,-4,0,4,8,-9,13,7,-14,16,22,-1
wbbb,CA,-1403963.8779,1330940.4511,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-3,0,4,-4
wbbb,CA,-1378963.8779,1330940.4511,14,0,0,0,1,-1,6,1,3,-10,13,-11,-1,-1,3,0,-2,21,-22,20,-1,-13
wbbb,CA,-1353963.8779,1330940.4511,12,2,-2,0,0,0,14,-13,0,0,-1,0,1,-1,0,2,13,0,-15,15,-6,10
wbbb,CA,-1328963.8779,1330940.4511,8,0,1,-1,0,0,0,0,0,0,0,0,0,0,2,-1,1,19,-19,8,-10,9
wbbb,CA,-1803963.8779,1355940.4511,10,0,0,0,0,0,0,0,10,4,-5,-9,1,5,-6,3,-3,4,4,-1,7,-14
wbbb,CA,-1778963.8779,1355940.4511,17,0,0,0,0,3,14,22,58,-36,-18,-39,-1,14,80,-2,-24,41,-64,-16,23,-46
wbbb,CA,-1753963.8779,1355940.4511,22,1,18,-14,-1,6,27,17,17,-21,-28,-5,-9,26,21,-18,29,-8,-37,-12,-3,-6
wbbb,CA,-1728963.8779,1355940.4511,11,-1,0,0,0,0,0,0,2,8,-10,0,0,0,11,23,20,11,-43,4,-3,-15
wbbb,CA,-1703963.8779,1355940.4511,20,19,-9,11,-17,-4,31,32,103,-59,-27,-52,21,-7,5,0,65,-1,-46,9,-41,-14
wbbb,CA,-1678963.8779,1355940.4511,6,-2,0,2,-2,4,-4,3,-2,-1,0,0,0,0,0,0,0,0,0,0,1,-1
wbbb,CA,-1653963.8779,1355940.4511,22,10,-6,0,9,6,12,69,-58,-1,2,-34,9,5,6,35,-15,24,-36,-10,-3,-21
wbbb,CA,-1628963.8779,1355940.4511,22,11,-5,4,19,12,29,9,-1,64,19,-84,-44,44,3,-8,-17,90,-107,36,-36,-35
wbbb,CA,-1603963.8779,1355940.4511,22,53,-55,17,19,45,34,276,-57,36,9,-215,-42,19,23,28,-9,59,-186,90,-43,-101
wbbb,CA,-1578963.8779,1355940.4511,22,98,-102,-1,61,9,81,147,-109,-44,78,-118,-50,103,-22,50,-7,108,-237,136,1,-196
wbbb,CA,-1553963.8779,1355940.4511,15,2,-3,0,0,9,-9,5,25,-19,-2,-8,-1,0,1,19,4,0,-23,2,-2,-1
wbbb,CA,-1528963.8779,1355940.4511,16,0,0,0,0,7,-2,2,2,-6,9,-9,-3,3,4,1,-6,28,-19,14,-17,-6
wbbb,CA,-1503963.8779,1355940.4511,12,2,-2,0,0,2,3,-3,5,11,-15,-3,0,4,-4,0,1,12,-11,-2,12,-12
wbbb,CA,-1478963.8779,1355940.4511,17,1,0,-1,0,0,13,-12,2,2,-5,6,-4,3,-3,4,3,40,-26,11,39,-71
wbbb,CA,-1453963.8779,1355940.4511,14,8,-8,0,0,0,16,-6,5,-13,3,3,-8,2,-2,1,-1,20,-17,9,-6,-3
wbbb,CA,-1428963.8779,1355940.4511,15,8,-8,0,1,-1,17,-16,2,10,-8,-5,0,1,-1,1,3,20,-18,14,-1,-6
wbbb,CA,-1403963.8779,1355940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,2,1,1
wbbb,CA,-1378963.8779,1355940.4511,14,0,0,0,0,0,5,-2,3,-2,-2,-1,1,-2,1,1,6,2,-10,28,-13,-2
wbbb,CA,-1353963.8779,1355940.4511,15,6,-6,0,0,1,7,-5,2,31,-36,6,-6,5,-1,15,14,-8,-25,31,18,26
wbbb,CA,-1328963.8779,1355940.4511,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,-21,-1,2,-4
wbbb,CA,-1803963.8779,1380940.4511,4,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,8,-7,2,-3,0,0
wbbb,CA,-1778963.8779,1380940.4511,16,-4,-4,1,0,-3,15,-15,2,0,3,-5,0,0,0,5,5,13,-19,-1,15,-16
wbbb,CA,-1753963.8779,1380940.4511,20,1,-2,6,-5,-3,13,-8,20,-25,11,-8,2,3,6,13,-6,17,-23,-3,1,-6
wbbb,CA,-1728963.8779,1380940.4511,15,1,0,7,-9,-3,21,17,-3,-35,0,0,0,1,-1,0,1,8,-6,2,-1,-3
wbbb,CA,-1703963.8779,1380940.4511,21,10,7,-2,14,8,71,-3,114,-178,-48,8,45,35,-25,-5,-3,-6,-46,6,4,-12
