SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
mpb,USA,-2075000,650000,7,-2,0,3,0,-1,-1,-1,0,0,0,1,-1,11,-11,0,0,0,0,0,0,0,0,0
mpb,USA,-2075000,625000,9,0,1,0,3,12,-14,2,-4,1,0,-1,0,10,-10,0,0,0,0,0,0,0,0,0
mpb,USA,-2075000,6e+05,8,0,1,0,5,-5,4,-4,-1,0,0,2,-2,10,-10,0,0,0,0,0,0,0,0,0
mpb,USA,-2075000,575000,7,0,1,-1,0,26,-5,-21,3,-3,1,-1,1,15,-16,0,0,0,0,0,0,0,0,0
mpb,USA,-2075000,550000,10,1,2,6,-9,10,-3,-7,1,0,0,-1,2,25,-27,0,0,0,0,0,0,0,0,0
mpb,USA,-2075000,525000,14,-1,0,1,0,0,17,-15,-3,0,2,-2,14,3,-16,108,-109,9,-4,341,-346,0,0,0
mpb,USA,-2075000,5e+05,7,0,0,0,0,0,0,0,0,0,0,0,3,-1,-1,20,-17,-4,31,536,-567,0,0,0
mpb,USA,-2075000,475000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-6,0,0,40,-40,0,0,0
mpb,USA,-2075000,450000,7,0,0,0,0,0,0,0,0,0,0,0,17,-17,17,83,-99,26,8,-30,-5,0,0,0
mpb,USA,-2075000,425000,8,0,0,0,0,0,0,0,0,0,0,0,6,-6,16,2,-18,16,369,-143,-241,-1,2,-2
mpb,USA,-2075000,4e+05,5,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,8,12,-20,58,254,-312,0,0,0
mpb,USA,-2050000,7e+05,4,-1,0,1,1,-2,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0
mpb,USA,-2050000,625000,8,0,0,3,1,6,-10,4,-3,-1,2,-2,0,18,-17,-1,0,0,0,0,0,0,0,0
mpb,USA,-2050000,6e+05,5,0,4,-3,-1,11,-11,1,-1,0,0,0,0,19,-19,0,0,0,0,0,0,0,0,0
mpb,USA,-2050000,550000,9,0,0,2,0,2,0,-4,1,0,-1,1,-1,25,-24,-1,0,0,0,0,0,0,0,0
mpb,USA,-2050000,525000,7,0,0,0,0,0,2,-2,0,1,0,-1,10,-3,-7,25,-25,0,0,176,-176,0,0,0
mpb,USA,-2050000,5e+05,3,0,0,0,0,0,0,0,0,0,0,0,1,27,-28,0,0,0,0,53,-53,0,0,0
mpb,USA,-2050000,450000,11,0,0,0,0,0,0,0,0,0,2,8,2,2,99,22,-132,10,5,-17,22,-23,0,0
mpb,USA,-2050000,425000,7,0,0,0,0,0,0,0,0,0,0,2,6,-7,56,94,-145,-6,0,4,-4,0,0,0
mpb,USA,-2050000,4e+05,6,0,0,0,0,0,0,0,0,0,0,0,1,4,-2,28,-30,-1,0,15,-15,0,0,0
mpb,USA,-2050000,375000,3,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,47,-42,-5,0,0,0
mpb,USA,-2025000,7e+05,4,1,-1,1,-1,0,0,0,0,1,-1,0,0,5,-5,0,0,0,0,0,0,0,0,0
mpb,USA,-2025000,675000,7,0,0,0,1,-2,0,0,1,-1,0,0,0,5,-5,0,0,0,0,0,0,0,0,0
mpb,USA,-2025000,650000,11,-2,1,2,-1,1,-3,1,-1,1,0,1,1,33,-36,0,0,0,0,0,0,0,0,0
mpb,USA,-2025000,625000,10,0,1,2,-3,2,-1,0,0,-1,2,-2,2,9,-9,-2,0,0,0,0,0,0,0,0
mpb,USA,-2025000,6e+05,3,0,0,0,3,1,-4,0,0,0,0,0,0,11,-11,0,0,0,0,0,0,0,0,0
mpb,USA,-2025000,575000,6,0,1,-1,1,3,-3,-1,1,-1,0,0,0,9,-9,0,0,0,0,0,0,0,0,0
mpb,USA,-2025000,550000,7,0,0,2,-1,4,-5,5,-5,0,1,1,-2,30,-30,0,0,0,0,0,0,0,0,0
mpb,USA,-2025000,525000,4,0,1,-1,0,1,-1,0,0,0,0,0,0,95,-95,0,13,-13,0,0,0,0,0,0
mpb,USA,-2025000,5e+05,11,0,0,0,0,0,0,0,0,0,135,-16,-4,-86,44,59,-87,-16,108,10,-138,-9,0,0
mpb,USA,-2025000,475000,12,0,0,0,0,0,0,0,0,0,38,38,-48,-11,36,120,-90,-49,-25,68,-76,-1,4,-4
mpb,USA,-2025000,450000,13,0,0,0,0,0,0,0,0,0,50,114,-105,199,-41,-80,-36,204,-267,56,72,-161,35,-40
mpb,USA,-2025000,425000,8,0,0,0,0,0,0,0,0,0,0,107,-103,12,-16,114,-113,7,16,-24,0,0,18,-18
mpb,USA,-2025000,4e+05,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-2,-12,14,153,-154,-13,0,0,0
mpb,USA,-2025000,375000,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,-40,-2,94,-76,-18,0,0,0
mpb,USA,-2025000,350000,12,18,-13,-5,0,0,0,0,0,0,6,7,43,-44,-9,61,-54,113,-102,32,-53,0,0,0
mpb,USA,-2025000,325000,13,1,-1,0,0,0,0,0,0,0,0,1,54,-27,-24,156,-91,-35,-24,230,-186,2,-29,-27
mpb,USA,-2025000,3e+05,7,0,0,0,0,0,0,3,-3,0,0,0,0,0,2,204,-198,61,-49,31,-51,0,0,0
mpb,USA,-2025000,275000,11,0,0,0,0,0,0,9,-9,0,0,1,-1,0,6,11,-9,42,-48,274,-228,32,-63,-17
mpb,USA,-2025000,250000,7,0,0,0,0,0,0,0,0,0,0,0,1,-1,29,45,-58,5,75,143,-239,0,0,0
mpb,USA,-2025000,225000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,154,-149,2,-8,445,-445,0,0,0
mpb,USA,-2025000,2e+05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-3,-2,9,170,-179,0,0,0
mpb,USA,-2e+06,7e+05,5,2,-2,0,0,0,0,0,0,1,0,-1,1,15,-16,0,0,0,0,0,0,0,0,0
mpb,USA,-2e+06,675000,12,-1,0,1,4,-5,3,1,-3,0,0,0,1,26,-27,-1,0,0,0,0,0,0,0,0
mpb,USA,-2e+06,650000,14,-3,4,-2,13,-16,1,-1,-1,2,2,8,-8,75,-77,-2,0,0,0,0,0,0,0,0
mpb,USA,-2e+06,625000,10,-1,-3,4,0,6,-10,2,-2,0,0,2,-1,111,-106,-6,0,0,0,0,0,0,0,0
mpb,USA,-2e+06,6e+05,12,7,-21,0,0,3,1,16,5,11,3,-31,-6,511,-391,-122,0,0,0,0,0,0,0,0
mpb,USA,-2e+06,575000,15,-10,-16,1,45,-9,-29,-8,0,0,16,12,3,748,-753,-27,0,0,0,0,0,0,0,0
mpb,USA,-2e+06,550000,14,4,-1,-5,-1,11,26,25,-18,-30,54,7,-33,798,-774,-66,0,0,0,0,0,0,0,0
mpb,USA,-2e+06,525000,11,14,-14,0,2,-2,7,41,-46,42,-43,0,-1,255,-255,28,-28,0,0,27,-27,0,0,0
mpb,USA,-2e+06,475000,7,0,0,0,0,0,0,0,0,0,0,23,-19,10,34,125,-153,-20,0,38,-38,0,0,0
mpb,USA,-2e+06,450000,12,0,0,0,0,0,0,0,0,0,40,51,-78,211,-120,-34,-15,-13,32,0,-73,9,-10,0
mpb,USA,-2e+06,425000,12,0,0,0,0,0,0,0,0,0,3,23,-25,3,2,111,-97,-19,176,-157,-20,19,-12,-7
mpb,USA,-2e+06,4e+05,4,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,4,-4,0,82,-34,-48,0,0,0
mpb,USA,-2e+06,375000,7,0,0,0,0,0,0,0,0,0,0,0,15,-3,-1,4,-14,-1,20,-20,1,-1,0,0
mpb,USA,-2e+06,350000,17,15,85,-100,112,-112,0,23,-23,0,47,60,269,102,-248,-39,-147,-15,8,236,-263,-9,1,-2
mpb,USA,-2e+06,325000,16,0,11,-11,19,-19,0,20,-20,0,113,16,-70,892,-564,-215,-115,68,343,1406,-1649,-1,-131,-93
mpb,USA,-2e+06,3e+05,12,0,0,0,0,0,0,24,-24,0,9,-8,0,23,-23,60,-52,11,24,705,-697,-52,0,0
mpb,USA,-2e+06,275000,10,0,0,0,0,0,0,1,-1,0,0,0,0,1,17,60,-72,28,-31,215,-167,157,-208,0
mpb,USA,-2e+06,250000,12,0,0,0,0,0,0,5,-5,0,0,0,4,-3,9,181,-178,-8,38,259,-254,-46,10,-12
mpb,USA,-2e+06,225000,8,0,0,0,0,0,0,37,-37,0,0,0,1,-1,25,349,-369,-4,75,450,-526,0,0,0
mpb,USA,-2e+06,2e+05,8,0,0,0,0,0,0,72,-72,0,0,1,0,-1,0,19,8,-27,7,127,-132,-2,0,0
mpb,USA,-2e+06,175000,4,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-3,0,8,739,-747,0,0,0
mpb,USA,-2e+06,150000,6,0,0,0,0,0,0,2,-2,0,0,0,1,-1,0,2,-1,-1,2,143,-145,0,0,0
mpb,USA,-2e+06,125000,5,0,0,0,0,0,0,0,0,0,0,1,2,-3,0,46,-40,-6,0,116,-116,0,0,0
mpb,USA,-2e+06,1e+05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,121,114,-242,0,0,0
mpb,USA,-2e+06,75000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61,121,-185,0,0,0
mpb,USA,-2e+06,50000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,346,-351,-9,0,0
mpb,USA,-2e+06,-375000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,-34,54,104,-190,0,0
mpb,USA,-1975000,1150000,3,0,0,0,0,0,3,-3,0,0,5,-5,0,26,-26,0,0,0,0,0,0,0,0,0
mpb,USA,-1975000,675000,14,47,-45,0,11,25,-25,-14,14,26,32,-31,-33,146,-149,-5,0,0,0,0,0,0,0,0
mpb,USA,-1975000,650000,15,-35,-5,5,-18,59,124,-75,-66,227,199,-31,-167,1938,-1705,-509,0,0,0,0,0,0,0,0
mpb,USA,-1975000,625000,14,1,12,-11,0,7,30,91,-27,219,198,80,147,2989,-2641,-1095,0,0,0,0,0,0,0,0
mpb,USA,-1975000,6e+05,15,-11,-2,-8,8,38,-23,53,-51,5,60,-53,41,2012,-1885,-209,0,0,0,0,0,0,0,0
mpb,USA,-1975000,575000,14,-12,-12,-6,5,8,12,81,-9,25,7,-50,-27,958,-897,-113,0,0,0,0,0,0,0,0
mpb,USA,-1975000,550000,11,0,1,-1,2,150,-115,-17,-15,10,-15,79,0,701,-725,-55,0,0,0,0,0,0,0,0
mpb,USA,-1975000,525000,7,0,0,0,0,9,-9,7,9,-16,2,0,-2,71,-67,-4,0,0,0,0,0,0,0,0
mpb,USA,-1975000,475000,8,0,0,0,0,0,0,0,0,0,0,20,-15,106,-62,99,-102,-10,12,-48,0,0,0,0
mpb,USA,-1975000,450000,13,0,0,0,0,0,0,0,0,0,33,10,-36,132,48,173,-270,-75,10,465,-485,0,43,-48
mpb,USA,-1975000,425000,3,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,0,59,441,-500,0,0,0
mpb,USA,-1975000,375000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,167,-164,-3,0,0,43,-43,0,0,0
mpb,USA,-1975000,350000,7,0,0,0,0,0,0,0,0,0,2,-2,0,34,100,70,-204,0,68,223,-277,-14,0,0
mpb,USA,-1975000,325000,15,0,0,0,19,-19,0,97,-97,0,15,70,-51,331,53,-302,15,-61,633,-20,-317,-318,126,-174
mpb,USA,-1975000,3e+05,6,0,0,0,0,0,0,21,-21,0,4,-4,0,2,-2,29,-29,0,136,46,-182,0,0,0
mpb,USA,-1975000,275000,7,0,0,0,0,0,0,0,0,0,0,0,3,12,-6,39,-43,-5,46,483,-529,0,0,0
mpb,USA,-1975000,250000,9,0,0,0,0,0,0,45,-45,0,0,0,2,12,-6,70,-72,-3,30,39,-72,0,0,0
mpb,USA,-1975000,225000,10,0,0,0,0,0,0,0,0,0,0,1,12,-9,17,69,-81,-8,25,137,-143,-20,0,0
mpb,USA,-1975000,2e+05,13,0,0,0,0,0,0,14,-14,0,0,1,2,14,59,-29,-27,-18,-1,649,-633,-15,11,-13
mpb,USA,-1975000,175000,12,0,0,0,0,0,0,32,-32,0,0,5,-4,6,-4,3,7,-10,-3,76,-54,-18,3,-7
mpb,USA,-1975000,150000,10,0,0,0,12,-12,0,13,-13,0,0,2,1,-3,1,10,0,-10,6,63,-70,0,0,0
mpb,USA,-1975000,125000,12,0,0,0,18,-18,0,0,0,0,7,-5,4,-5,3,-1,18,29,21,161,-201,-31,0,0
mpb,USA,-1975000,1e+05,12,0,0,0,0,0,0,0,0,0,129,-128,18,-16,19,-13,3,193,-24,1004,-1159,-6,-20,0
mpb,USA,-1975000,75000,8,0,0,0,0,0,0,0,0,0,0,0,66,-65,1,12,-11,773,-130,1141,-1787,0,0,0
mpb,USA,-1975000,50000,9,0,0,0,0,0,0,0,0,0,0,0,25,-24,11,31,-14,1035,-33,1154,-1904,-281,0,0
mpb,USA,-1975000,25000,9,0,0,0,0,0,0,0,0,0,0,1,11,-12,1,50,89,153,445,1053,-1781,-10,0,0
mpb,USA,-1975000,0,6,0,0,0,0,0,0,0,0,0,0,0,12,-12,11,119,92,-222,0,1179,-1166,-13,0,0
mpb,USA,-1975000,-25000,5,0,0,0,0,0,0,0,0,0,0,0,4,-3,-1,0,51,-51,41,1021,-1062,0,0,0
mpb,USA,-1950000,750000,5,0,0,0,0,0,0,0,6,-6,1,1,10,26,-38,0,0,0,0,0,0,0,0,0
mpb,USA,-1950000,725000,8,1,-1,0,0,0,0,9,-9,2,20,37,-26,102,-123,-12,0,0,0,0,0,0,0,0
mpb,USA,-1950000,7e+05,13,12,-13,-1,6,2,15,-23,12,40,43,94,-156,352,-339,-46,0,0,0,0,0,0,0,0
mpb,USA,-1950000,675000,13,-2,0,1,6,-5,3,34,-35,27,-7,70,-3,487,-442,-136,0,0,0,0,0,0,0,0
mpb,USA,-1950000,650000,11,-2,2,-2,1,6,1,-5,-3,0,24,-3,0,698,-664,-55,0,0,0,0,0,0,0,0
mpb,USA,-1950000,625000,9,12,-10,-2,0,0,2,-1,-1,0,1,0,2,353,-335,-21,0,0,0,0,0,0,0,0
mpb,USA,-1950000,6e+05,14,9,5,-11,39,-39,11,-10,15,17,16,173,8,2400,-2260,-373,0,0,0,0,0,0,0,0
mpb,USA,-1950000,575000,13,-1,2,-2,4,11,25,-21,5,52,82,181,150,2374,-2115,-748,0,0,0,0,0,0,0,0
mpb,USA,-1950000,550000,13,-4,6,-6,1,127,-83,-34,-2,15,39,-15,51,532,-572,-59,0,0,0,0,0,0,0,0
mpb,USA,-1950000,525000,5,-1,0,0,0,5,-5,0,0,0,0,20,-20,29,-28,-1,0,0,0,0,0,0,0,0
mpb,USA,-1950000,5e+05,10,0,0,0,0,2,-1,3,-1,4,-1,45,-12,136,-125,-50,0,0,0,0,0,0,0,0
mpb,USA,-1950000,350000,4,0,0,0,0,0,0,4,-4,0,0,0,0,17,-17,87,-87,0,0,148,-148,0,0,0
mpb,USA,-1950000,325000,6,0,0,0,0,0,0,0,0,0,0,0,0,22,-21,109,-110,2,62,-48,-16,0,0,0
mpb,USA,-1950000,3e+05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,-148,-5,3,-3,0,0,0,0
mpb,USA,-1950000,275000,11,0,0,0,0,0,0,0,0,0,0,1,8,5,69,175,-253,-3,-1,0,0,-1,2,-2
mpb,USA,-1950000,250000,11,0,0,0,0,0,0,0,1,-1,85,-2,-30,-25,-11,49,-62,0,-3,26,-27,0,0,0
mpb,USA,-1950000,225000,6,0,0,0,0,0,0,37,-37,0,0,0,0,1,2,14,-16,-1,0,7,-7,0,0,0
mpb,USA,-1950000,2e+05,14,0,0,0,0,0,0,28,-28,0,94,-24,-29,27,53,65,-178,16,-15,3,31,-33,35,-45
mpb,USA,-1950000,175000,17,1,-1,0,15,-5,-10,129,-129,0,143,-64,24,-7,-51,89,-115,20,-21,-6,25,-6,-3,-28
mpb,USA,-1950000,150000,15,5,-5,2,-2,0,0,0,0,0,66,-29,11,-6,9,14,-35,-16,13,311,-283,-42,0,-13
