SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
wsbw,CA,-1603963.8779,1405940.4511,5,0,0,0,0,0,0,0,0,25,90,-111,55,112,-171,0,0,0,0,0,0,0
wsbw,CA,-1828963.8779,1430940.4511,3,0,0,0,0,0,0,2,2,-4,10,-10,0,0,0,0,0,0,0,0,0,0
wsbw,CA,-1803963.8779,1430940.4511,7,0,0,18,2,-13,-7,15,55,-68,-2,0,21,-21,0,0,0,0,0,0,0,0
wsbw,CA,-1778963.8779,1430940.4511,10,0,38,22,52,-40,-65,145,-10,-81,-61,0,5,15,-20,0,0,0,0,0,0,0
wsbw,CA,-1753963.8779,1430940.4511,15,34,85,77,62,194,-140,330,-152,-53,-95,48,-61,244,-572,-4,0,0,0,0,0,0
wsbw,CA,-1728963.8779,1430940.4511,14,205,-9,387,-184,60,-305,438,-261,109,33,73,-328,425,-634,-9,0,0,0,0,0,0
wsbw,CA,-1703963.8779,1430940.4511,18,40,78,319,-18,-278,-90,364,-168,-156,282,12,-356,414,-436,-9,0,0,0,21,2,22
wsbw,CA,-1678963.8779,1430940.4511,9,0,0,62,39,-101,0,153,-144,35,88,44,-176,79,-75,-4,0,0,0,0,0,0
wsbw,CA,-1653963.8779,1430940.4511,7,0,0,0,0,0,0,98,1,19,32,-120,-20,102,-112,0,0,0,0,0,0,0
wsbw,CA,-1628963.8779,1430940.4511,7,0,0,0,0,9,-9,26,112,117,-84,-171,65,-1,-64,0,0,0,0,0,0,0
wsbw,CA,-1603963.8779,1430940.4511,5,0,0,0,0,0,0,0,0,28,92,-95,34,-26,-33,0,0,0,0,0,0,0
wsbw,CA,-1578963.8779,1430940.4511,4,0,0,0,0,0,0,0,0,0,8,0,78,-50,-36,0,0,0,0,0,0,0
wsbw,CA,-1553963.8779,1430940.4511,3,0,0,0,0,0,0,0,0,0,0,2,12,63,-77,0,0,0,0,0,0,0
wsbw,CA,-1853963.8779,1455940.4511,5,0,0,0,10,-4,-2,13,-8,-9,0,0,0,0,0,0,0,0,0,0,0,0
