SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
sb,USA,-1575000,1200000,6,1,-1,0,67,-67,0,0,31,-29,-2,0,0,0,0,0,15,-11,-4,0,0,0,0,0
sb,USA,-1575000,1175000,3,0,0,0,29,-29,38,52,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1575000,9e+05,3,1,-3,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1575000,825000,5,3,0,21,-23,-1,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1575000,8e+05,7,22,-4,11,-19,-12,0,0,3,-3,16,-16,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1575000,775000,4,24,-18,-6,0,0,0,0,10,-10,0,0,0,0,0,1,-1,0,0,0,0,0,0,0
sb,USA,-1550000,1200000,3,0,0,2,28,-30,0,0,5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1550000,1175000,5,0,0,0,33,-30,62,-65,0,5,-5,0,0,1,-1,0,0,0,0,0,0,0,0,0
sb,USA,-1550000,775000,4,4,-5,0,2,-2,0,0,0,5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1500000,7e+05,3,0,0,10,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
sb,USA,-1475000,1200000,3,0,0,0,10,-10,0,0,0,0,14,-14,0,0,0,0,0,0,0,4,-4,0,0,0
sb,USA,-1475000,750000,3,-6,-6,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1475000,650000,3,0,0,1,4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0
sb,USA,-1475000,25000,4,0,0,0,2,-2,0,0,0,0,0,1,28,-29,39,-39,0,0,0,0,0,0,0,0
sb,USA,-1450000,1200000,4,0,0,0,7,-3,-4,2,-2,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0
sb,USA,-1450000,750000,3,-1,0,6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
sb,USA,-1450000,7e+05,4,0,0,2,14,-14,-2,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,0
sb,USA,-1425000,1200000,8,0,1,1,3,-3,8,-10,18,-18,0,0,2,-2,0,1,-1,0,0,0,0,0,0,0
sb,USA,-1425000,1075000,4,2,-2,6,-5,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1425000,875000,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,31,35,-36,-9,-21
sb,USA,-1425000,850000,7,2,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,313,-253,334,-578
sb,USA,-1425000,825000,6,1,-1,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,1,-1,4,31,70,-105
sb,USA,-1400000,1e+06,3,0,0,0,0,2,-2,2,-2,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,0
sb,USA,-1400000,975000,3,0,6,-6,0,0,0,0,0,0,0,0,0,0,0,1,-1,4,-4,0,0,0,0,0
sb,USA,-1400000,925000,4,0,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,0,2,-1,-1,0,0,0,0
sb,USA,-1400000,9e+05,3,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,2,-2,0,0,0,3,-3
sb,USA,-1400000,850000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-6,0,0,2,0,23,65,-45,-33
sb,USA,-1400000,825000,5,-1,0,4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,321,-351
sb,USA,-1400000,8e+05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-13,3,0,37,-40
sb,USA,-1400000,-150000,11,-243,-165,-230,804,-1249,20,69,15,-93,-13,0,0,1,-1,0,0,0,0,0,0,0,0,0
sb,USA,-1400000,-175000,7,1,3,-4,38,-38,78,3,-16,-50,-15,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1375000,1e+06,3,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,3,-3,0,0,0,0,0,0
