SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ftc,USA,50000,920000,7,0,0,0,5036,-3825,-1211,0,0,0,0,0,0,0,0,105,844,-823,-48,-78,17,-17,0,0
ftc,USA,50000,895000,10,0,0,5,126,147,-201,-77,0,0,0,0,0,5,-5,204,161,-197,-28,-140,28,-28,0,0
ftc,USA,50000,870000,11,0,0,7,-7,10,-10,0,0,0,0,0,0,1,22,186,4330,-4461,74,-148,27,-13,-18,0
ftc,USA,50000,845000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,55,166,7239,-7312,-66,-82,0,29,-29,0
ftc,USA,50000,820000,8,0,0,0,0,0,0,0,0,0,0,0,0,7,19,-21,196,-134,-52,-15,47,-42,-5,0
ftc,USA,50000,795000,10,0,0,0,9,-9,0,0,0,0,0,2,-2,21,25,223,266,-466,-69,0,1,5,0,-6
ftc,USA,50000,770000,10,0,0,3,-3,0,0,0,0,0,0,0,8,25,-3,101,22,-107,-33,-13,2,-2,4,-4
ftc,USA,50000,745000,8,0,0,0,0,0,1,-1,0,0,0,0,2,17,33,-6,274,-290,22,-52,0,0,0,0
ftc,USA,50000,720000,15,0,15,29,-35,-3,-3,0,-3,0,8,16,67,31,60,42,146,-308,1,-63,0,0,0,0
ftc,USA,50000,695000,14,0,38,42,40,-83,-33,13,3,-20,0,96,-11,40,21,-20,101,-143,-84,0,0,0,0,0
ftc,USA,50000,670000,15,0,18,20,-32,1,20,5,-2,-29,-1,133,-65,81,-119,8,102,-84,-56,0,0,0,0,0
ftc,USA,50000,645000,17,86,-36,0,10,-46,5,17,18,-31,-11,62,68,69,-132,5,119,-154,-49,0,0,0,0,0
ftc,USA,50000,620000,7,0,0,0,0,0,0,0,0,2,-2,7,-3,2,8,-8,2,-8,0,0,0,0,0,0
ftc,USA,75000,1070000,3,0,7,188,-39,-156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,75000,1045000,6,0,452,2024,-943,-1533,502,-502,22,-22,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
ftc,USA,75000,1020000,6,0,210,2125,124,-2436,1729,-1752,0,0,0,0,0,0,0,0,0,0,0,0,12,-12,0,0
ftc,USA,75000,995000,5,0,9,1129,796,-1287,1295,-1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,75000,945000,9,0,0,18,1415,-1214,-219,0,0,0,32,-32,0,0,26,-26,36,-22,-12,-2,5,-5,0,0
ftc,USA,75000,920000,9,0,107,-107,6568,-433,-6135,0,0,0,0,0,0,0,6,30,1340,-1057,-249,-70,90,-90,0,0
ftc,USA,75000,895000,9,0,0,0,192,180,-325,-47,0,0,0,0,0,0,0,29,101,119,-205,-44,71,-63,-8,0
ftc,USA,75000,870000,10,0,4,-4,0,0,2,-2,0,0,0,0,0,0,2,164,1201,-1337,12,-37,70,13,-88,0
ftc,USA,75000,845000,9,0,7,-7,84,-84,0,0,0,0,0,0,0,0,3,25,7604,-7517,-36,-79,192,-103,-89,0
ftc,USA,75000,820000,11,0,0,0,6,1,-7,0,0,0,0,2,-2,19,35,-3,311,-332,-30,0,32,5,-35,-2
ftc,USA,75000,795000,8,0,0,0,0,0,0,0,0,0,0,9,-9,2,-1,15,16,-25,-7,0,0,6,5,-11
ftc,USA,75000,770000,10,0,0,0,0,0,0,0,0,0,0,0,9,26,-27,14,43,-49,-8,1,6,-15,9,-9
ftc,USA,75000,745000,10,0,0,0,0,0,0,0,0,0,0,0,3,16,-16,43,63,-43,17,-78,17,-5,-17,0
ftc,USA,75000,720000,11,0,21,-21,0,0,0,0,0,0,1,0,23,18,-10,95,173,-217,-45,-38,2,-2,0,0
ftc,USA,75000,695000,10,2,-2,23,-23,0,0,0,22,-22,0,33,18,42,-36,-12,188,-162,-71,0,0,0,0,0
ftc,USA,75000,670000,11,0,0,0,0,16,0,-9,-4,-3,0,16,-15,29,-16,24,38,-41,-35,0,0,0,0,0
ftc,USA,75000,645000,18,66,-15,118,3,-141,7,19,13,-35,-1,201,21,-79,20,-49,113,-198,-49,-14,0,0,0,0
ftc,USA,75000,620000,18,51,115,55,-10,-169,1,-3,111,-123,27,187,172,-40,-45,-188,416,-522,-27,-8,0,0,0,0
ftc,USA,75000,595000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,-5,1,-4,0,0,0,0
ftc,USA,1e+05,1045000,3,0,0,299,-146,-153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,0,0
ftc,USA,1e+05,1020000,5,0,117,1944,451,-2478,1837,-1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,1e+05,995000,5,0,43,1024,774,-1756,2118,-2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,1e+05,970000,4,0,0,8,554,-467,37,-132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,1e+05,945000,7,0,1017,-856,5568,134,-5843,-20,0,0,0,0,0,0,0,0,31,-31,0,0,19,-19,0,0
ftc,USA,1e+05,920000,8,0,773,-773,4523,4087,-8518,-92,0,0,0,0,0,0,4,-4,349,-191,-152,-6,0,0,0,0
ftc,USA,1e+05,895000,10,0,0,0,244,2264,-1624,-884,0,0,0,0,0,0,0,75,400,-109,-281,-77,112,-84,-36,0
ftc,USA,1e+05,870000,10,0,4,-4,0,61,282,-343,0,0,0,0,0,0,0,937,340,-1196,35,-111,29,-22,-12,0
ftc,USA,1e+05,845000,11,0,3,-3,0,60,55,-115,0,0,0,0,0,5,2,23,4862,-4682,-205,-5,40,-10,-30,0
ftc,USA,1e+05,820000,8,0,0,0,54,-43,-11,0,0,0,0,0,0,0,11,52,552,-538,-77,0,37,-4,-33,0
ftc,USA,1e+05,795000,6,0,0,0,0,0,0,0,0,0,0,8,-8,0,0,101,48,-131,-18,0,0,12,-10,-2
