SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
sb,CA,-1803963.8779,1505940.4511,18,0,7,-5,-2,8,-6,13,6,0,-16,-5,2,5,-6,22,6,13,23,-8,-30,31
sb,CA,-1778963.8779,1505940.4511,14,0,0,0,0,0,0,1,0,5,2,-5,-2,4,-5,5,4,3,7,-9,-4,-1
sb,CA,-1678963.8779,1505940.4511,11,0,0,0,0,0,6,30,5,-31,68,-7,-50,-13,29,-37,0,0,1,1,-2,0
sb,CA,-1653963.8779,1505940.4511,6,0,0,0,0,0,4,14,3,-13,10,-15,-3,0,0,0,0,0,0,0,0,0
sb,CA,-1628963.8779,1505940.4511,7,0,0,0,0,0,1,6,-4,4,4,-6,-3,-2,0,0,0,0,0,0,0,0
sb,CA,-1528963.8779,1505940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,-5,0
sb,CA,-1503963.8779,1505940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0
sb,CA,-1478963.8779,1505940.4511,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,-1,-4,2,-2
sb,CA,-1828963.8779,1530940.4511,12,0,3,4,-1,9,10,13,-30,32,-33,-6,-1,1,0,-1,0,0,0,0,0,0
sb,CA,-1803963.8779,1530940.4511,15,1,2,2,-4,6,5,17,-20,26,-20,-14,-1,2,-2,1,-1,3,-2,-1,0,0
sb,CA,-1778963.8779,1530940.4511,11,0,0,0,0,0,0,0,0,3,2,-5,0,3,-2,0,1,0,10,-8,0,-2
sb,CA,-1678963.8779,1530940.4511,11,0,0,0,0,0,0,3,-3,2,8,-10,54,-13,-33,-7,2,-1,-2,6,-4,-2
sb,CA,-1578963.8779,1530940.4511,6,0,0,0,1,0,0,3,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0
sb,CA,-1503963.8779,1530940.4511,3,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,2,3,-5,0,0,0
sb,CA,-1478963.8779,1530940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,1,-1
sb,CA,-1903963.8779,1555940.4511,3,0,0,2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,CA,-1878963.8779,1555940.4511,4,0,0,6,0,-6,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,1
sb,CA,-1828963.8779,1555940.4511,12,0,43,-22,15,19,-21,-11,-15,-7,-1,2,-2,0,0,0,1,-1,1,4,-5,0
sb,CA,-1803963.8779,1555940.4511,9,0,7,-7,2,16,18,-31,3,-6,1,-3,0,0,0,3,-3,0,0,0,0,0
sb,CA,-1778963.8779,1555940.4511,5,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,1,-1,1,-1,0
sb,CA,-1603963.8779,1555940.4511,3,0,0,0,0,0,0,1,1,7,-9,0,0,0,0,0,0,0,0,0,0,0
sb,CA,-1903963.8779,1580940.4511,4,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
sb,CA,-1853963.8779,1580940.4511,7,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,2,2,27,-28,21
sb,CA,-1828963.8779,1580940.4511,11,1,-1,0,0,1,-1,0,0,0,1,-1,0,0,6,-2,25,-14,30,52,-64,-5
sb,CA,-1803963.8779,1580940.4511,7,0,0,0,0,0,0,0,0,3,1,-4,0,0,0,4,-4,29,-2,-27,1,29
sb,CA,-1653963.8779,1580940.4511,9,-2,2,3,29,-17,9,-26,0,0,1,3,-4,2,-2,0,0,0,0,0,0,0
sb,CA,-1503963.8779,1580940.4511,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,-10,5,-3
sb,CA,-1478963.8779,1580940.4511,8,0,0,0,4,-4,0,5,-5,6,-6,0,0,0,0,0,0,5,-2,1,0,-1
sb,CA,-1903963.8779,1605940.4511,5,0,0,0,15,-14,3,-2,-2,0,0,0,0,0,0,0,0,0,1,-1,0,0
sb,CA,-1853963.8779,1605940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,11,-3,9,5
sb,CA,-1828963.8779,1605940.4511,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,44,26,-10,-31,21,96
sb,CA,-1803963.8779,1605940.4511,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-7,22,-3,-19,0,3
sb,CA,-1653963.8779,1605940.4511,7,-5,4,-3,26,-25,6,-8,0,0,0,0,0,0,0,0,0,0,3,-3,0,0
sb,CA,-1628963.8779,1605940.4511,12,11,-13,0,80,88,-50,-65,-50,-3,1,1,-2,8,-8,14,-14,0,0,0,0,1
sb,CA,-1603963.8779,1605940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,38,3
sb,CA,-1578963.8779,1605940.4511,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,2,0
sb,CA,-1503963.8779,1605940.4511,13,0,0,0,0,0,47,-42,11,-9,-3,1,-4,-1,10,-10,1,43,16,-9,-51,4
sb,CA,-1478963.8779,1605940.4511,13,0,0,0,0,0,41,-39,-2,33,-4,-18,-9,-2,2,-2,7,17,48,115,-171,3
sb,CA,-1453963.8779,1605940.4511,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,19,-6
sb,CA,-1903963.8779,1630940.4511,8,0,0,1,1,11,-13,4,-3,13,-12,-2,0,0,0,0,0,0,1,-1,0,0
sb,CA,-1828963.8779,1630940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-2,0,51
sb,CA,-1803963.8779,1630940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,-6,-3,15
sb,CA,-1678963.8779,1630940.4511,9,-4,0,0,8,-4,-4,0,0,0,1,12,-13,16,-16,3,-3,1,3,-4,0,0
sb,CA,-1653963.8779,1630940.4511,18,-42,10,162,235,80,-252,162,-126,-218,19,199,-224,322,-367,2,-2,-6,3,-3,0,0
sb,CA,-1628963.8779,1630940.4511,15,30,-36,1,264,-219,147,31,-53,-136,24,71,-104,35,-50,-11,0,0,1,-1,0,0
sb,CA,-1603963.8779,1630940.4511,10,0,0,0,2,-2,0,0,0,2,-2,0,0,18,-13,-5,26,366,-113,-149,-79,-9
sb,CA,-1578963.8779,1630940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,50,29,9,-13
sb,CA,-1528963.8779,1630940.4511,5,7,-7,0,0,0,7,-7,0,0,9,-9,0,0,0,0,0,0,0,1,9,-10
sb,CA,-1503963.8779,1630940.4511,9,28,-28,0,0,1,18,-19,0,1,-1,0,0,0,0,0,0,7,-2,-1,16,-16
sb,CA,-1478963.8779,1630940.4511,5,28,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,50,-86,12
sb,CA,-2028963.8779,1655940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,2,-2
sb,CA,-2003963.8779,1655940.4511,4,0,0,0,0,0,5,-4,-1,0,0,2,-2,0,0,0,0,2,-2,0,0,0
