SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
wsbw,USA,-1700000,1200000,15,0,0,2,-2,0,43,194,569,212,-24,11,155,-372,-488,-234,73,-86,-42,113,-124,0,0,0
wsbw,USA,-1700000,1175000,10,0,0,0,0,0,0,85,42,116,260,-238,-12,141,-14,-380,0,2,-2,0,0,14,-14,0
wsbw,USA,-1700000,1150000,8,0,0,0,0,0,0,0,0,0,46,-20,-17,54,99,-133,-19,-10,0,0,0,1,-1,0
wsbw,USA,-1700000,1125000,5,0,0,0,0,0,0,0,0,0,0,16,-16,4,53,13,-70,0,0,0,0,0,3,-3
wsbw,USA,-1700000,1075000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,65,-73,-1,77,-15,-62,0,0,0
wsbw,USA,-1700000,725000,6,0,0,0,0,0,0,0,0,0,0,0,159,6,171,-171,-165,5,37,-42,0,0,0,0
wsbw,USA,-1700000,7e+05,10,0,0,0,0,0,0,21,-21,708,724,-1311,593,1220,1321,-3089,-166,57,105,-162,0,0,0,0
wsbw,USA,-1700000,675000,8,0,0,0,0,0,41,3,-44,366,37,-403,140,617,866,-1596,-27,0,0,0,0,0,0,0
wsbw,USA,-1700000,650000,5,0,0,0,0,0,101,120,-221,0,0,0,40,266,385,-691,0,0,0,0,0,0,0,0
wsbw,USA,-1675000,1275000,4,0,0,0,0,0,0,0,0,0,0,23,-23,7,15,-22,0,0,0,1,-1,0,0,0
wsbw,USA,-1675000,1250000,14,0,0,0,0,0,42,742,852,318,-923,770,90,-776,-814,573,-758,-83,-33,130,-130,20,-20,0
wsbw,USA,-1675000,1225000,14,0,0,0,0,0,27,221,983,202,-429,746,857,-1576,-455,485,-556,-499,-6,76,-76,20,-20,0
wsbw,USA,-1675000,1200000,11,0,0,0,0,0,0,97,105,96,218,123,243,12,-131,-407,-245,-111,17,-17,0,0,0,0
wsbw,USA,-1675000,1175000,12,0,0,0,0,0,0,0,17,34,195,239,-318,205,128,-477,-11,-12,14,-11,-3,12,-12,0
wsbw,USA,-1675000,725000,4,0,0,0,0,0,0,0,0,0,0,0,59,325,336,-644,-76,0,0,0,0,0,0,0
wsbw,USA,-1675000,7e+05,11,0,0,0,0,0,0,0,18,863,1810,-2352,738,1053,2243,-3473,-880,3,-7,-16,0,0,0,0
wsbw,USA,-1675000,675000,6,0,0,0,0,0,0,0,0,94,625,-719,370,41,898,-1264,-45,0,0,0,0,0,0,0
wsbw,USA,-1650000,1250000,10,0,0,0,0,0,0,0,0,185,-141,256,-9,-58,-209,253,-274,2,-3,-2,0,0,0,0
wsbw,USA,-1650000,1225000,9,0,0,0,0,0,0,0,0,0,316,322,516,-453,456,-248,-721,-161,-27,0,0,16,-16,0
wsbw,USA,-1650000,1200000,9,0,0,0,0,0,0,0,0,35,157,763,236,-336,975,-843,-445,-459,-83,0,0,0,0,0
wsbw,USA,-1650000,7e+05,6,0,0,0,0,0,0,0,0,35,108,-97,51,282,512,-891,0,0,0,0,0,0,0,0
wsbw,USA,-1625000,1275000,5,0,0,0,0,0,0,0,0,0,0,12,-12,4,7,9,-20,9,-9,0,0,0,0,0
wsbw,USA,-1625000,1250000,12,0,0,0,0,0,12,-12,0,183,-162,726,-406,-191,888,-26,-869,-103,-29,-6,-5,0,0,0
wsbw,USA,-1625000,1225000,11,0,0,0,0,0,0,0,0,8,14,870,-117,-564,556,-42,-476,-239,-1,-9,0,4,-4,0
wsbw,USA,-1625000,1200000,7,0,0,0,0,0,0,0,0,0,0,54,46,-78,127,-68,-67,-14,0,0,0,2,-2,0
wsbw,USA,-1625000,1175000,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,-7,0,0,0,0,0,0
wsbw,USA,-1600000,1250000,11,0,0,1,-1,0,0,0,0,0,0,98,181,-222,775,24,-790,-31,-17,32,-50,78,-78,0
wsbw,USA,-1600000,1225000,9,0,0,0,0,0,0,0,0,3,-3,93,4,35,560,97,-709,-26,-54,0,0,0,42,-42
wsbw,USA,-1600000,1200000,9,0,0,0,0,0,0,0,0,12,-12,129,401,334,1124,-133,-1457,-267,-131,4,-4,0,0,0
wsbw,USA,-1600000,1175000,7,-45,0,0,0,0,0,0,0,0,0,0,10,0,210,404,-288,-260,-76,0,0,0,0,0
wsbw,USA,-1575000,1250000,11,0,0,0,0,0,0,0,0,0,0,141,311,-304,2287,-547,-1730,-93,-20,27,-44,66,-94,0
wsbw,USA,-1575000,1225000,11,0,0,0,0,0,0,0,0,0,0,14,710,267,2851,-660,-2933,7,-238,-15,16,-19,1,-1
wsbw,USA,-1575000,1200000,12,0,0,1,-1,0,0,0,0,0,0,17,102,-42,786,514,-1110,-168,-92,31,-38,0,33,-32
wsbw,USA,-1575000,1175000,8,0,0,0,0,0,0,0,0,0,0,7,-5,4,-6,59,364,-355,-68,0,1,-1,8,-8
wsbw,USA,-1575000,1150000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-14,-34,0,29,-29,0,0
wsbw,USA,-1550000,1250000,9,0,0,0,0,0,0,0,0,0,0,0,0,3,480,343,-609,-177,-23,6,-23,8,-8,7
wsbw,USA,-1550000,1225000,10,0,0,0,0,0,0,0,0,0,0,0,50,-33,493,276,-584,-57,-139,24,-21,-7,-2,0
wsbw,USA,-1550000,1200000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,192,229,-256,-132,-7,-26,77,-53,-24,0
wsbw,USA,-1550000,1175000,10,0,0,0,0,0,0,0,0,0,0,19,-7,-12,37,106,248,-87,-294,50,-19,5,-46,0
wsbw,USA,-1550000,1150000,6,0,0,0,0,0,0,0,0,0,0,8,-8,0,0,4,55,87,-139,-7,36,-36,0,0
wsbw,USA,-1550000,1125000,6,0,0,1,-1,0,0,0,0,0,0,0,0,0,4,21,-17,-7,-1,0,8,-8,0,0
wsbw,USA,-1550000,725000,8,0,0,0,0,0,0,0,0,0,0,0,8,1,-9,45,36,-71,38,-48,39,-26,-13,0
wsbw,USA,-1525000,1250000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,99,27,-142,3,-4,0,0,2
wsbw,USA,-1525000,1225000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,98,18,8,-99,-21,-6,-4,0
wsbw,USA,-1525000,1200000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,50,34,-50,38,-40,-32,12,-12,0,0
wsbw,USA,-1525000,1175000,8,-370,0,0,0,0,0,0,0,0,0,0,0,0,28,34,57,-10,-101,56,-48,-16,0,0
wsbw,USA,-1525000,1150000,9,-9,0,0,0,0,0,0,0,6,-6,45,-45,0,0,4,67,-35,-34,11,36,-49,0,0
wsbw,USA,-1525000,1125000,9,-1,0,0,0,0,0,0,0,3,-3,4,-4,0,1,34,47,-58,-13,-11,8,-8,0,0
wsbw,USA,-1525000,775000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,-7,23,-23,0,3,-3,0
wsbw,USA,-1525000,750000,8,0,0,0,0,0,0,0,0,0,0,1,106,97,595,-618,-130,-51,73,-73,0,51,-51,0
wsbw,USA,-1525000,725000,15,0,0,0,0,4,6,0,74,508,-478,-111,1266,88,-242,-195,-10,-708,355,-557,0,37,-37,0
wsbw,USA,-1500000,1250000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-8,27,-27,17,8,-25,0,0,0
wsbw,USA,-1500000,1225000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,33,-19,157,-96,-3,-47,32,-55,-2,0
wsbw,USA,-1500000,1200000,10,0,0,0,0,15,-15,0,0,0,0,4,-4,8,41,-49,42,56,52,-12,-77,-50,-11,0
wsbw,USA,-1500000,1175000,11,0,0,0,0,0,0,0,11,-11,0,45,-45,10,2,364,-322,221,-149,28,-2,-151,-1,0
