SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
tcbw,CA,-1678963.8779,1705940.4511,4,0,0,110,-110,0,0,77,-77,0,0,0,0,0,0,80,-80,0,0,23,-23,0
tcbw,CA,-1653963.8779,1705940.4511,10,0,0,587,-582,96,-101,174,-174,0,0,24,-24,7,70,404,-481,297,-297,371,-371,0
tcbw,CA,-1628963.8779,1705940.4511,12,0,0,34,16,90,-140,43,-43,0,9,-6,-3,49,74,-30,-93,154,-129,41,-66,0
tcbw,CA,-1603963.8779,1705940.4511,11,0,0,147,132,-274,-5,94,-94,0,0,3,-3,0,17,3,-20,103,-24,-18,-43,-18
tcbw,CA,-1578963.8779,1705940.4511,13,-33,0,56,-54,31,-33,8,-8,15,6,5,-26,62,-3,9,-68,7,-7,23,-23,0
tcbw,CA,-1553963.8779,1705940.4511,6,-254,-31,0,0,0,0,0,0,0,0,0,0,21,-1,3,-23,0,0,66,-66,0
tcbw,CA,-1528963.8779,1705940.4511,5,-190,0,0,0,0,0,0,0,63,-63,0,0,17,-17,3,-3,0,0,131,-131,0
tcbw,CA,-1503963.8779,1705940.4511,3,0,0,0,0,0,0,0,0,0,0,3,-3,0,4,-4,0,0,0,19,-19,0
tcbw,CA,-1678963.8779,1730940.4511,11,0,7,73,-80,0,0,89,-89,16,-16,425,-425,167,199,-24,-342,262,-262,35,-35,38
tcbw,CA,-1653963.8779,1730940.4511,12,0,30,182,-212,0,0,4,-4,20,-20,266,-266,345,85,91,-521,489,-433,416,-472,48
tcbw,CA,-1628963.8779,1730940.4511,11,0,0,22,-10,-11,-1,1,-1,0,0,10,-10,133,66,-121,-78,122,-122,79,-79,1
tcbw,CA,-1603963.8779,1730940.4511,12,-39,0,11,5,-9,-7,6,-6,24,-24,0,0,8,6,-14,0,1,37,43,-77,-4
tcbw,CA,-1578963.8779,1730940.4511,8,-104,-72,0,0,0,0,16,-16,0,0,0,0,0,26,53,-79,44,-43,146,-147,0
tcbw,CA,-1553963.8779,1730940.4511,8,-130,-7,0,0,0,0,0,0,0,2,-2,0,1,1,31,-33,14,-14,26,-26,0
tcbw,CA,-1528963.8779,1730940.4511,7,-124,-13,0,0,0,0,0,0,0,0,38,-38,100,-95,84,-89,0,0,220,-220,0
tcbw,CA,-1678963.8779,1755940.4511,16,-33,258,-248,66,300,-376,457,-402,-55,0,187,-187,312,73,32,-417,358,-356,283,-245,57
tcbw,CA,-1653963.8779,1755940.4511,16,-40,290,-275,47,34,-96,173,-47,-126,0,680,-680,282,145,166,-593,198,67,389,-640,39
tcbw,CA,-1628963.8779,1755940.4511,9,6,-6,76,-64,-12,0,0,0,0,0,109,-109,25,48,26,-99,0,266,-168,-98,0
tcbw,CA,-1603963.8779,1755940.4511,13,10,34,-84,11,-11,0,0,0,40,-40,2,-2,16,21,-16,-21,58,71,355,-480,-4
tcbw,CA,-1578963.8779,1755940.4511,8,-266,27,-37,0,0,0,0,0,0,0,0,0,0,11,49,-60,114,-111,168,-171,0
tcbw,CA,-1553963.8779,1755940.4511,7,-152,-40,0,0,0,0,4,-4,0,0,0,0,0,0,22,-22,113,-50,87,-150,0
tcbw,CA,-1528963.8779,1755940.4511,5,-85,-8,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,0,5,49,-54,0
tcbw,CA,-1678963.8779,1780940.4511,15,-112,65,7,463,-401,-142,484,-484,0,0,186,-186,206,284,-71,-419,362,-362,250,-247,41
tcbw,CA,-1653963.8779,1780940.4511,14,16,40,64,-163,-36,0,200,-200,0,0,413,-413,67,136,-76,-127,117,-109,82,-70,-20
tcbw,CA,-1628963.8779,1780940.4511,12,-17,-280,-8,-7,0,0,0,0,0,0,37,-37,1,23,69,-93,463,14,-134,-323,-20
tcbw,CA,-1603963.8779,1780940.4511,9,-71,-313,-17,0,0,0,0,0,0,8,-2,-6,0,0,8,-8,260,95,137,-492,0
tcbw,CA,-1578963.8779,1780940.4511,9,-15,-151,-9,0,0,0,0,0,0,6,-6,0,0,8,30,-38,18,13,77,-108,0
tcbw,CA,-1553963.8779,1780940.4511,7,-166,-359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,198,117,-308,11
tcbw,CA,-1528963.8779,1780940.4511,4,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,-42,48
tcbw,CA,-1703963.8779,1805940.4511,4,39,-39,346,-346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,-26,-2
tcbw,CA,-1678963.8779,1805940.4511,12,-53,-118,240,-244,0,0,0,0,102,-102,18,-18,62,13,94,-169,119,-111,106,-114,0
tcbw,CA,-1653963.8779,1805940.4511,10,-122,-356,0,0,0,0,0,0,0,0,56,-56,3,93,64,-160,198,-74,253,-377,4
tcbw,CA,-1628963.8779,1805940.4511,8,-300,-439,0,0,0,0,0,0,0,0,0,0,0,20,12,-32,306,-84,347,-551,-18
tcbw,CA,-1603963.8779,1805940.4511,5,-45,-283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,-140,335,-358,0
tcbw,CA,-1578963.8779,1805940.4511,6,48,-160,0,0,0,0,0,0,0,0,17,-17,0,0,0,0,0,216,211,-427,60
tcbw,CA,-1553963.8779,1805940.4511,7,22,-225,0,0,0,79,-79,0,0,0,0,0,0,0,0,0,0,54,270,-310,161
tcbw,CA,-1528963.8779,1805940.4511,3,38,-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-7,32
tcbw,CA,-1703963.8779,1830940.4511,8,126,-126,18,-18,0,0,0,0,0,0,0,0,0,2,12,-14,45,35,23,-66,-37
tcbw,CA,-1678963.8779,1830940.4511,11,282,-289,72,-72,0,0,0,0,0,0,0,0,130,45,-148,-27,543,-42,198,-634,-48
