"","dist","sync","lower_CI","upper_CI"
"1",0,0.62,0.42,0.79
"2",25,0.4,0.34,0.46
"3",100,0.16,0.12,0.2
"4",200,0.09,0.06,0.12
"5",300,0.06,-0.01,0.13
