"","dist","sync","lower_CI","upper_CI"
"1",0,0.64,0.45,0.81
"2",25,0.38,0.32,0.43
"3",100,0.07,0.03,0.1
"4",200,0.04,0.02,0.06
"5",300,0.01,-0.04,0.06
