"","dist","sync","lower_CI","upper_CI"
"1",0,0.45,0.27,0.63
"2",25,0.26,0.2,0.32
"3",100,0.07,0.04,0.09
"4",200,0.03,0.01,0.05
"5",300,0.02,-0.03,0.07
