"","dist","sync","lower_CI","upper_CI"
"1",0,0.88,0.73,1.02
"2",25,0.7,0.62,0.78
"3",100,0.26,0.16,0.36
"4",200,-0.04,-0.1,0.01
"5",300,-0.06,-0.15,0.01
