"","dist","sync","lower_CI","upper_CI"
"1",0,0.81,0.67,0.95
"2",25,0.52,0.48,0.55
"3",100,0.17,0.15,0.2
"4",200,0.1,0.08,0.12
"5",300,0.08,0.04,0.12
