"","dist","sync","lower_CI","upper_CI"
"1",0,0.93,0.66,1.21
"2",25,0.71,0.55,0.89
"3",100,0.39,0.17,0.62
"4",200,0.22,-0.02,0.46
"5",300,-0.28,-0.77,0.28
