"","dist","sync","lower_CI","upper_CI"
"1",0,0.91,0.78,1.04
"2",25,0.69,0.64,0.73
"3",100,0.35,0.3,0.4
"4",200,0.23,0.19,0.27
"5",300,0.17,0.11,0.24
