"","dist","sync","lower_CI","upper_CI"
"1",0,0.74,0.6,0.86
"2",25,0.47,0.44,0.5
"3",100,0.21,0.19,0.24
"4",200,0.13,0.11,0.15
"5",300,0.11,0.07,0.15
