"","dist","sync","lower_CI","upper_CI"
"1",0,0.84,0.71,0.96
"2",25,0.61,0.55,0.67
"3",100,0.23,0.18,0.28
"4",200,0.19,0.12,0.26
"5",300,-0.08,-0.18,0.03
