"","dist","sync","lower_CI","upper_CI"
"1",0,0.88,0.79,0.97
"2",25,0.68,0.65,0.7
"3",100,0.36,0.33,0.38
"4",200,0.2,0.18,0.22
"5",300,0.17,0.14,0.21
