"","dist","sync","lower_CI","upper_CI"
"1",0,0.86,0.42,1.23
"2",25,0.56,0.35,0.75
"3",100,0.22,0.06,0.42
"4",200,-0.01,-0.09,0.08
"5",300,0.09,-0.07,0.32
