"","dist","sync","lower_CI","upper_CI"
"1",0,0.61,0.43,0.78
"2",25,0.4,0.35,0.44
"3",100,0.18,0.14,0.22
"4",200,0.1,0.07,0.13
"5",300,0.1,0.05,0.16
