"","dist","sync","lower_CI","upper_CI"
"1",0,0.55,0.36,0.75
"2",25,0.31,0.25,0.36
"3",100,0.03,0.01,0.06
"4",200,0.01,-0.01,0.04
"5",300,0.05,0,0.11
