"","dist","sync","lower_CI","upper_CI"
"1",0,0.88,0.74,1.01
"2",25,0.73,0.67,0.8
"3",100,0.56,0.51,0.61
"4",200,0.54,0.5,0.58
"5",300,0.54,0.45,0.62
