"","dist","sync","lower_CI","upper_CI"
"1",0,0.92,0.8,1.04
"2",25,0.62,0.6,0.65
"3",100,0.27,0.24,0.31
"4",200,0.14,0.12,0.17
"5",300,0.09,0.04,0.14
