"","dist","sync","lower_CI","upper_CI"
"1",0,0.75,0.59,0.9
"2",25,0.52,0.45,0.6
"3",100,0.16,0.12,0.21
"4",200,0.02,-0.03,0.06
"5",300,0.03,-0.06,0.12
