"","dist","sync","lower_CI","upper_CI"
"1",0,0.64,0.53,0.75
"2",25,0.45,0.42,0.48
"3",100,0.2,0.18,0.23
"4",200,0.12,0.1,0.14
"5",300,0.1,0.07,0.14
