"","dist","sync","lower_CI","upper_CI"
"1",0,0.63,0.52,0.74
"2",25,0.38,0.35,0.41
"3",100,0.12,0.1,0.14
"4",200,0.06,0.04,0.07
"5",300,0.04,0.02,0.07
