"","dist","sync","lower_CI","upper_CI"
"1",0,0.93,0.8,1.04
"2",25,0.75,0.71,0.78
"3",100,0.45,0.4,0.5
"4",200,0.22,0.18,0.26
"5",300,0.04,-0.03,0.13
