SOURCE,X,Y,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA,-1950000,1200000,-3.61836090880112,0.880025736655498,-0.162989874064017,1.99160850255979,-2.71068718353988,0.405075190623983,3.02128843966828,-1.9662963215396,-1.93715304671241,2.7582932507763,-0.302733480455141,-1.33608139031316,0.875344710240688,-0.0846721490538074,-2.09207489409554,3.19366659124492,-1.27886324907801,1.57540727417974,-1.88818017752386,-1.93274237780152,1.74297539962697,2.49502758406997,-2.03523810308203
USA,-1925000,1225000,-2.93052222246915,0.9722133605377,-0.378564430830572,1.67224433054906,-2.0028040291238,0.05230065144541,2.91747217369088,-1.77858687409148,-1.90323664479355,2.54970203868116,-0.454350870138893,-1.18542563816897,0.791731373263903,0.113833442552013,-1.86722373265099,3.09809187818312,-1.20060751056397,1.47800480885458,-1.87785358514777,-1.85561989259372,1.58847385116753,2.59403918072238,-1.9404890602775
USA,-1925000,1200000,-3.10357293898882,1.0847858605082,-0.390650225140774,1.48472595857996,-1.83796185696072,0.00804116130235455,2.99942666061582,-1.87117123460596,-1.80769287008749,2.53963607849991,-0.490302621099454,-1.15325024995782,0.750710252675668,0.0434945718191675,-1.79041292504457,3.1313486602799,-1.12704580582176,1.39340731336472,-1.86663413412447,-1.8866109773116,1.56653113915496,2.62902357336564,-2.09295230980583
USA,-1900000,1225000,-1.94127785444752,0.765293411832299,-0.329272453078053,0.92586874956754,-1.23218692627389,0.0526074643898937,2.25722598426311,-1.71638081860634,-1.05484403745296,1.48743275028284,-0.112612647850053,-0.771999363564099,0.825786394964418,-0.545499456679677,-0.977605832372359,1.90727490231479,-0.740467819043911,0.971762529331548,-1.38162890064167,-1.21456245495651,1.10653072079225,1.52042841914606,-1.21878280856888
USA,-1900000,1200000,-3.21338422689993,1.56728370482903,-0.44762046094031,1.09100586379622,-1.43804553606266,-0.243943629631252,3.31707639742706,-1.6856606687175,-2.27393519284065,2.56002436742399,-0.28653244260756,-1.20456418457198,0.758822975400975,0.176531805047757,-2.0027509708576,3.75821584489515,-1.37097069658148,1.43561338780718,-1.82205544925003,-2.16115424286785,1.64039401642966,3.01716035590745,-2.46609435426881
USA,-1900000,1175000,-3.25498032425635,1.34627001471139,-0.348999865601348,0.960777855187745,-1.35570048203423,-0.182105365222813,3.29713046635202,-2.07281059295524,-1.67901730913487,2.32638736790792,-0.357505608860798,-1.12779112385532,0.713534110019888,-0.163043215689071,-1.63718030658658,3.12372783638654,-0.804001600706231,1.19342710463128,-1.85512699379918,-1.96346500257089,1.49891302244815,2.66825754273736,-2.28054670903365
USA,-1900000,950000,-2.98337206332704,0.895585267242375,-0.228724362584315,0.665444136042987,-0.744170167816146,0.223761451646848,3.13108374652952,-3.19571700996017,-0.625253145197702,1.61312509396947,-0.283582587447628,-0.858919282964254,0.379783004916749,0.158421351691096,-1.54773890808752,3.14127886940144,-1.76141233838186,0.892828300737929,-0.394994668520925,-1.49776061900326,0.935185027212616,2.11033365880429,-2.2757088662881
USA,-1875000,1200000,-1.72264148956866,0.767739899993006,-0.195808412449865,0.546772302214639,-0.77561208395453,-0.157358668943953,2.12590769012016,-1.63463439692779,-0.797138557878463,1.19784747991601,-0.121343336173742,-0.718058295624835,0.868641648803698,-0.643560535064769,-0.693885706283847,1.43690902700113,-0.252775494369188,0.707355418194772,-1.24620880010878,-1.16716927809305,1.02253038071251,1.44156863143971,-1.29929139176966
USA,-1875000,950000,-2.46603210260843,0.80435159082998,-0.482097965668824,0.651951617081438,-0.541096999201315,0.1135204650081,2.73679198124473,-2.91101605092462,-0.541873324326669,1.4640997060733,-0.298730962724286,-0.819073322358917,0.594429458371826,0.0742393119821102,-1.21256704982818,2.42944797703453,-1.34402080687507,0.649423169929435,-0.294855654133101,-1.51038719961787,1.06995841438442,1.77522593707411,-1.78784793519888
USA,-1850000,1e+06,-3.6200514386362,1.79571281877887,-0.201564273560199,0.148271281039757,-0.736748476665346,0.0798586381975577,3.84617866136467,-3.19221027386536,-1.51512131826001,1.85064867911686,-0.0713940396524997,-0.761750916595765,0.419618076045234,-0.0742865593312186,-1.26774961989117,3.65908593290147,-1.64775525687133,0.683278779500091,-0.970096668813851,-1.80440842963425,1.17307084176047,2.03565057384167,-2.15014488352081
