SOURCE,X,Y,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA,25000,1045000,-0.438150081626471,0.965952970203705,-0.132154660106798,0.131748732402767,0.901072087092736,-0.114524385829196,-3.95501961567213,2.83386722709245,0.105770185592224,0.926635049294379,-1.60305610669328,-2.03562856190375,3.77812761256313,-1.28313369321071,1.03426322001579,-0.57955735129022,0.623323582897737,-1.5862085264319,0.0139101086345899,0.213892458920346,2.01552891703949,-1.97050032746736,1.76205053476296
USA,25000,870000,-0.319272533430568,1.21446471421063,-0.526247283571442,-0.394073348972374,1.157158422057,0.631832551818581,-4.26292018359352,2.39305566517383,0.420763037927369,0.52446755376317,-1.1520632468697,-2.09910688214674,3.90668862403742,-0.944697832968378,0.585070204711891,-1.42941209868533,1.74150152910287,-2.26947908708939,0.125676243640582,0.358793838899178,2.06620984528419,-2.65274058004517,2.59949953259767
USA,50000,1020000,-0.54243385581151,1.10119118787978,-0.0600433731480252,-0.118803735404089,1.23750806665959,-0.335190842393194,-4.05652485006104,2.87898289067133,0.0666606110427686,0.902304277467341,-1.69445300027945,-1.93811192753001,3.90115078616071,-1.24094327271128,0.802022956417172,-0.625872100351673,0.891499903231112,-1.91387370038198,0.254099832036375,0.0838800159107409,2.14400607886341,-2.1476736491533,1.98919133204064
USA,50000,895000,-0.586427647904362,1.4042870676552,-0.775122197722846,-0.20967782491343,1.18732336244056,0.515229306065069,-4.27073185052203,2.42464462584723,0.426183986892283,0.58768371176977,-1.2090862290279,-2.03226406602,4.02463708240008,-1.14200361747853,0.642269409321319,-1.36130933464755,1.75636792932528,-2.31645958296377,0.121424518648464,0.300880035996288,1.90815094246604,-2.45736857944447,2.47814482243995
USA,50000,870000,-0.439683788149619,1.4026409098888,-0.674009974212903,-0.335728898843917,1.21370816965306,0.592040746397854,-4.42396653067893,2.51602962977762,0.420580260227197,0.443483417646834,-1.11502476236438,-2.05822915677656,4.02195705929805,-1.13315804639747,0.747100187877849,-1.56759485783317,1.96243522386284,-2.41255919668615,0.12728215896391,0.208689123081818,2.13959448688551,-2.76384399292817,2.72402129092081
USA,50000,845000,-0.388170207625655,1.44536982729635,-0.700257067840738,-0.382271850335811,1.17894172930817,0.614550803683123,-4.38759137289394,2.63860834549176,0.337688622704097,0.273942151047691,-0.972228298068899,-2.09522177159907,3.98524506866039,-1.06347532262559,0.801090718833727,-1.65632963911899,1.97585931571214,-2.38906166192646,0.232615034479101,0.108234361361158,2.31347231318214,-2.8119005381303,2.65586143910889
USA,50000,820000,-0.450741027831193,1.54132827483877,-0.778340458371163,-0.37710307752414,1.03259033809484,0.654754746730884,-4.18540019039471,2.69024737856632,0.278382440368785,0.0750487170506435,-0.725248643920608,-2.19445223046864,3.93716544941583,-0.913941274015146,0.672853074989435,-1.61453540869759,1.86131029918426,-2.31327846142402,0.477098578942878,0.0381791828116946,2.3173815305925,-2.61543090114566,2.34193550696907
USA,75000,1045000,-0.460228845002664,1.16277717920383,-0.0602188054209285,-0.0441030482165865,1.09467417930501,-0.236083250735963,-4.10005862173212,2.80275995254332,0.200189209793411,0.78447392736714,-1.49846131431913,-2.16640031705792,4.08438290635154,-1.40212419359903,0.899342105857127,-0.779800565883071,1.02595915031267,-1.99155302869216,0.23336221373473,0.184799464373954,2.05783434243391,-1.93195755107294,1.71152033288186
USA,75000,1020000,-0.504385389450908,1.18001886383961,-0.0628486480715664,-0.131152736017507,1.25052150073934,-0.321630290052718,-4.1021492838151,2.82307442944788,0.0928229164097205,0.863876220420461,-1.60460599379003,-2.01660756438665,4.02914928766807,-1.28677910674187,0.776626833901946,-0.786020772418922,1.03875903190387,-2.01386062873583,0.303859571468476,0.100418829526195,2.12730520516491,-2.09841314067344,1.88852642637595
USA,75000,895000,-0.625034734641273,1.50247093177614,-0.790763554606171,-0.145764283193278,1.04900812202102,0.530502272065578,-4.34230779488926,2.48881221661111,0.484094371878252,0.552860729081155,-1.1648352323285,-2.00819220804679,4.1004907370703,-1.14291076061614,0.557047674674167,-1.3435717585,1.88179468212925,-2.38355318027767,0.144434519449327,0.288223214350176,1.82918628669129,-2.55688582701177,2.52083997481304
USA,75000,870000,-0.571111980910591,1.58439442442885,-0.723316436006574,-0.389153263794016,1.24144799017342,0.591794911879647,-4.45938597258708,2.47956072576042,0.527581601320587,0.362295591674098,-1.04782784943748,-2.05885693930058,4.09742322760988,-1.09924181886868,0.689886843284201,-1.62832855196409,2.08013773313697,-2.47456841163868,0.174076957770439,0.169468769253366,2.09559341762578,-2.6864492077602,2.62759334132004
USA,75000,845000,-0.509755587991825,1.60598855751756,-0.833649546791771,-0.450343360149023,1.32815900132961,0.645680135295404,-4.41049725254842,2.54271021923771,0.46069228541888,0.155504849687706,-0.878664733751943,-2.12536986148982,4.03778223075253,-1.01795110911204,0.81957825315867,-1.79698500181485,2.06116259434553,-2.4309522899306,0.302963156138556,0.0677098881278735,2.30329354281004,-2.70173522838993,2.49829984901124
USA,75000,820000,-0.506445204046548,1.61049722894144,-0.9300000248169,-0.431088762011092,1.24876083892305,0.670307549827304,-4.23315415758751,2.59491353024632,0.391179108860815,-0.0164896212163619,-0.595334974794275,-2.26323225760635,3.97838100721252,-0.888788084860381,0.75293971201165,-1.78090761854946,1.90477587982767,-2.36019636990674,0.559111121743091,-0.0339230796896821,2.31065466895729,-2.55089898700742,2.23943563049526
USA,75000,795000,-0.332825425217074,1.62917571217984,-0.993365376883095,-0.424124958597569,1.09840733067617,0.716943418042281,-3.99620513351505,2.48035611703242,0.453773270365101,-0.250708515807749,-0.440448871267422,-2.22162820741894,3.93671093294979,-0.91224407746615,0.717115670237124,-1.75098547112726,1.80858519169307,-2.38813410974632,0.727019723787606,-0.0580433334132717,2.20605753810558,-2.41423034318964,2.15547310861324
USA,75000,770000,-0.159710107578798,1.67980268975634,-0.984525155214405,-0.444170066038733,0.944111169578727,0.756208086850284,-3.7408912202121,2.26665959998122,0.589830356016521,-0.462743363032516,-0.320757331205726,-2.13097150779172,3.91702918489023,-0.984926609020383,0.66639935209732,-1.69624701518409,1.73320573055799,-2.42500142593151,0.801604302264386,-0.0277112057227824,2.07393407184056,-2.28212104544794,2.14120296925201
USA,1e+05,920000,-0.656438041400418,1.61224743889777,-0.887073564630326,-0.0999397599398328,0.889719306427153,0.5742598745272,-4.16582331647753,2.67560363091299,0.215377677880836,0.672963000627882,-1.34390379767638,-1.78976554335457,4.03505518147026,-1.17983261415925,0.935872333009212,-1.21255122279976,1.64838481298775,-2.38881920978187,-0.00514073953152128,0.420077113777123,1.71592622962591,-2.24930155939997,1.9508380352102
USA,1e+05,895000,-0.672722703012564,1.73743790497641,-0.80933416905816,-0.317118910512071,1.0663417026899,0.609944611331631,-4.35930534236606,2.57964817905495,0.465184375311918,0.50617855719308,-1.20475739040275,-1.87170737498539,4.07901403531823,-1.11865823320247,0.812877440658939,-1.35743111608729,1.88021470086429,-2.45561353477366,0.0442089843641118,0.399122544965248,1.81411151311918,-2.49513010695281,2.16268731669053
USA,1e+05,870000,-0.767321837982414,1.85198280705982,-0.789087903527461,-0.624735459363514,1.41924745077326,0.579334429464314,-4.36038086895966,2.35832035867141,0.631606191445145,0.246263753854051,-1.01741870805456,-2.00336592377811,4.1158310148162,-1.01603265141454,0.736441697634356,-1.74115353248087,2.19638366249454,-2.55771891502437,0.184192949005714,0.192963142387392,2.10411880233559,-2.39098148796903,2.25721046194825
USA,1e+05,845000,-0.560028402892397,1.80359084594458,-0.996185261345533,-0.587907627923045,1.44330474934873,0.724587364538565,-4.24194666959967,2.22094702528371,0.69754487019412,-0.00349325125209798,-0.853102539607552,-2.06828735486273,4.04533145441519,-0.919034359548336,0.816169954337811,-1.94557761264908,2.06574685536895,-2.41264704791634,0.37574848361773,0.101942884940839,2.23669959070946,-2.40200432745358,2.1485591358119
USA,1e+05,820000,-0.27248505300771,1.60196079661333,-1.19651349850732,-0.52049777551212,1.50210726266967,0.719068416129086,-4.15438122245631,2.30657936826255,0.592030451348865,-0.204132325187292,-0.651427436405582,-2.11665599006924,3.93831765441007,-0.853539788894787,0.884109333021017,-1.99128750552028,1.92429455927872,-2.36032907486941,0.590573125990056,-0.0460425983432207,2.2501166035121,-2.37271915098903,2.0429553391594
USA,1e+05,795000,-0.176171638112241,1.60016636038827,-1.2278826041485,-0.46933085259553,1.35360054323501,0.719334106896853,-4.00413698888127,2.33345820422769,0.588365732591065,-0.34861261408378,-0.488258568315135,-2.12972755794552,3.90472060134839,-0.897279961948852,0.866764438895039,-1.91543293804971,1.77195777207516,-2.42322115278133,0.81941122000153,-0.206173928701967,2.21251034780361,-2.29522350828419,2.02262366530094
USA,1e+05,770000,-0.135813457539826,1.64644111563937,-1.11456010354469,-0.461276640624653,1.11820000604192,0.731593365715819,-3.82644015383854,2.23504741561323,0.703683691126996,-0.451935202837173,-0.389040111830488,-2.0804165621679,3.83467156410561,-0.94343414375248,0.787392454438644,-1.77644761571267,1.63738373018025,-2.47571288169539,0.945998586990432,-0.282919766389761,2.14655197736974,-2.2234574080258,2.04421647834163
USA,1e+05,745000,-0.0682047557022414,1.58248061124966,-0.944563094130307,-0.490498679277228,0.962269470375233,0.706009368211186,-3.64457188184903,2.10270448805057,0.821661650971917,-0.543899210029812,-0.286867425973468,-2.03312293772114,3.71117140788767,-0.900503168100291,0.70366092935812,-1.67570486430665,1.53926431490457,-2.40521256615392,0.917095512548199,-0.266975226369095,2.08437605255372,-2.1487103079975,2.02420351785735
USA,125000,920000,-0.654049854738465,1.70550298702513,-0.751257504525121,-0.42162269620184,1.08931274667503,0.581192084897823,-4.13882417651675,2.53561385535709,0.319308219812778,0.53234557976149,-1.20479491736204,-1.9260755296418,4.12202280021241,-1.11715765734984,0.986016005559505,-1.45902026646319,1.764669493559,-2.53448180296212,0.124800234175901,0.243352046068409,1.9802453630211,-2.21963786152042,1.85297622353076
USA,125000,870000,-0.729762951801554,2.0471923070988,-0.962900222076904,-0.713343990857167,1.37479000142606,0.603353146414163,-3.99513555753906,2.00890635704523,0.78329999574799,0.076015439335841,-0.826773453832972,-2.02035410395454,4.14629241766917,-0.988445042989517,0.791884442285095,-1.95132406513205,2.20508136398054,-2.67382351984536,0.454967253888217,0.0244622860381163,2.28260384964934,-2.25557118791839,1.96450233722308
