SOURCE,X,Y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CA,-1303963.8779,1155940.4511,2.8329120693896,-0.0113764021689793,-2.71085353353749,1.85252287271377,-0.186977128423051,0.0586019519212409,-0.85312923710785,1.01996405895698,-0.841586966946339,1.20416262095754,-1.97583633014671,-1.68997109674308,0.186015603991537,2.96162276698072,-1.39446300559936,2.80714223788822,-2.94726408004762,1.18595820035741,0.33192588041024,0.980356301812808,-1.94142267952719
CA,-1403963.8779,1180940.4511,2.43862583141196,-0.250458861378554,-2.02143734745766,1.77084267426791,-0.440599312024265,0.167349757005037,-0.880176713074896,0.995767351780491,0.0625817077226984,0.379068429670044,-1.88161584920949,-1.34018461658881,0.0478236600783655,2.72310867346615,-0.86505459437888,1.40397393041717,-2.13674030752263,1.40917153447502,0.0548344231810267,0.855344858321826,-1.53699684405726
CA,-1378963.8779,1180940.4511,1.50788715995425,-0.392389401981664,-0.737691889554833,0.996991497529909,-0.72268989293769,-0.111179594260855,0.328843129258096,0.609162895204018,-0.239324771904522,0.378229070576426,-1.80963806783333,0.124176682500107,-0.196135044048434,1.20417929393369,-0.0566809402921762,0.61544949222122,-1.16423522548619,1.16045685169971,-0.368623480810997,0.118407419556762,-0.961826834849501
CA,-1353963.8779,1180940.4511,2.52158148662316,0.0199673027477698,-2.31966337252487,1.53278914851031,-0.503723618837621,0.0877034652725088,-0.438844011766443,0.430462497115062,0.0687548114959213,0.78112277022359,-2.33050373124859,-1.33739536180427,0.258234588854482,3.0305267562511,-1.22082229851755,2.24315933430643,-2.98293211528857,1.76059990228335,-0.0458983860083588,1.26080662083603,-2.14105053734607
CA,-1328963.8779,1180940.4511,1.93017656805391,-0.401384774409814,-1.86321018294283,1.44304000272398,-0.354232219924133,-0.349186424347769,0.34170919988294,0.523576656183778,-0.24927420927981,0.598930059182761,-1.83429895068808,-0.597138602841131,-0.0342605993539218,2.0554853224884,-1.06647215613403,1.7117081127331,-2.22574325087504,1.5857232239174,0.0503783694007931,0.572272812961017,-1.54776241900086
CA,-1303963.8779,1180940.4511,2.47926908806925,0.0478496253732446,-2.62599739477059,1.76708763573783,-0.190322398823147,-0.206272837544794,-0.273451633176118,0.667298165482246,-0.657467453368511,1.00026070156004,-1.87685745422041,-1.33736476845719,0.300252507866457,2.51089559617672,-1.12877874387366,2.27631400539481,-2.4649477004876,1.22243788246288,0.18415527444059,0.794476473126577,-1.78842003936095
CA,-1453963.8779,1205940.4511,2.41984286541921,-0.465975607977995,-1.13615379635442,0.957876700511221,0.0723128689148775,0.335122921570967,-1.6731134578483,1.47860342661428,0.177540202829806,0.188238309968577,-1.77160418467315,-0.764396360831876,-0.736471138530875,2.80203564062055,-0.867297445546486,0.83459681105059,-1.37676648009993,0.728382926893411,0.378862554515668,0.835775882013148,-1.13195655345813
CA,-1428963.8779,1205940.4511,2.40169996406766,-0.30374690591485,-1.48979625402413,1.26490237820455,-0.118848806549733,0.159188115955412,-1.17557820524506,1.1592639612297,0.145050598701135,0.210081347074673,-1.72045081350204,-0.924694372753419,-0.414190145307334,2.64863537343226,-0.790466978852516,0.855031355174301,-1.4978937060556,0.977486839383416,0.243096728657376,0.724899603581908,-1.20875372341683
CA,-1403963.8779,1205940.4511,1.75478034028345,-0.189180274413598,-1.12228494055513,0.98061909737166,-0.286906534935847,-0.175142491218509,-0.279406821880285,0.840298433153895,0.0514482959671418,0.322760031264032,-1.73809472566365,-0.282266999150892,-0.325903461678442,1.77387027119295,-0.284442576218369,0.612363178360597,-1.2407882165075,1.23410948563989,-0.317438580868521,0.37003802776217,-0.968946759523533
CA,-1378963.8779,1205940.4511,1.53851911064441,-0.330135735443274,-0.780887779221334,0.920726588326817,-0.372068941438468,-0.467777600534,0.2985737035684,0.607871265724495,-0.00357638622856271,0.378429133368054,-1.83986653854341,0.11201195845087,-0.305026415099543,1.30804346316633,-0.000751550012529023,0.519184520063251,-1.01280341958689,1.23369583704018,-0.621167309818458,0.231335425286674,-0.935913758981575
