SOURCE,X,Y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CA,1196036.1221,755940.451099999,2.73220813257677,-3.2403094096778,1.56796996508083,1.67548156731532,-0.0829066159941023,-2.30002412790103,-1.40725495404688,1.84858017912708,-0.040395218827908,1.85886329941009,-1.98669772473045,-0.363434574741383,-1.13831881856295,1.3839974725151,3.06177685948897,-1.57121811360476,-2.56350403969688,0.925593259349474,0.986510298099434,1.09756338963539,-1.47884133072118
CA,1221036.1221,755940.451099999,2.7727613792116,-3.3252598978743,1.50894636802543,1.69076120256265,-0.0232634037890236,-2.30768790744118,-1.41592357213316,1.79549319244203,-0.124900843752454,1.93902136704651,-1.90495842883432,-0.456879986479292,-1.004895603708,1.27311505707237,3.0866237092646,-1.44260086733453,-2.595885785434,0.909318113910848,0.957238275391796,1.11899402090116,-1.49055430379191
CA,1021036.1221,780940.451099999,1.73619335145883,-2.82300835671719,1.92564772157105,1.31928144126273,-0.210218893831906,-2.02851811097331,-1.5627073126941,1.54960369070895,0.773552088866584,1.80651036220509,-2.64622318506937,-0.072517742183261,-1.78978240622116,2.16545422264351,2.59501556207267,-1.92012323892304,-1.98452583636235,0.287406440915235,1.25167152769315,0.887424907037362,-1.9185750781548
CA,1171036.1221,780940.451099999,2.66927803808801,-3.26934357280204,1.75823956626278,1.64099550303027,-0.0246310689820808,-2.43700053748499,-1.43471830740227,1.95149000914375,0.043473995638716,1.71461194206273,-2.22249302649358,-0.174085893049014,-1.20356258940243,1.6836963849813,2.78616319567877,-1.78298611846617,-2.18510278327738,0.971115057716749,0.965433605978041,1.00825565773262,-1.44962986953377
CA,1196036.1221,780940.451099999,2.80717870637723,-3.44305670294924,1.68676111379328,1.74219823313693,-0.000259174764281056,-2.46961513548502,-1.45511579808948,1.93456774525849,0.00814841237570008,1.77359518660508,-2.17721397177693,-0.220604572825502,-1.04410744391265,1.55424296229699,2.81306666947046,-1.68229036472763,-2.22208178103492,0.943130963793656,0.969381258909336,1.04213600214153,-1.39999723081159
CA,1221036.1221,780940.451099999,2.88905749701543,-3.57120887045161,1.60801583482618,1.81593519719194,0.0367333852332958,-2.4781362719732,-1.49743973157513,1.93607383703589,-0.0526584637166661,1.84551942584536,-2.12811685799757,-0.278996185062843,-0.920070180349276,1.46241349362831,2.82511948815885,-1.58236274354332,-2.2613521109918,0.908878292963657,1.00858940021533,1.02594599710112,-1.38331163347925
CA,1246036.1221,780940.451099999,2.88065461964456,-3.60429299473367,1.52446929246427,1.80793502596437,0.130623459773911,-2.50044592813357,-1.53402777427474,1.97598187109639,-0.171170344822282,1.93821174559448,-2.08954750067006,-0.329633929511903,-0.807798491456849,1.38889960651982,2.78401464735995,-1.48866128031383,-2.23354157561211,0.862383419616351,0.992894926544344,1.02128600105518,-1.44293188959696
CA,1096036.1221,805940.451099999,2.23169078379591,-3.1574514888279,2.04778458226611,1.27326667878283,-0.0434555867590083,-2.18472485208461,-1.66131543873828,1.96786828949868,0.108187705392802,1.72166625454644,-2.40630107885585,-0.0658667908666946,-1.30814543450845,2.15773038853626,2.40622923064605,-2.089225239396,-1.68327696082599,0.860934334283593,0.839890230542958,1.0392842196313,-1.66077377255634
CA,1446036.1221,805940.451099999,2.47093978289068,-2.5843564931313,1.1449699958842,1.42213502554611,0.455214402811501,-2.59474831818214,-0.983692949643117,2.20942282107009,-0.126384491504562,1.26205732075518,-3.30358210738962,0.33909321451715,-0.818573318903539,2.09598810283043,1.35873919066526,-1.0104147973379,-1.87049389313159,0.6766122485656,0.24215895473182,1.53807927193228,-2.76086623427543
CA,1021036.1221,830940.451099999,1.92442698704128,-3.08947213117837,2.35687693833643,1.02565216890522,0.0742884160912549,-2.30350177480867,-1.50677375651779,1.62028723199535,0.627396039707055,1.85307652380574,-2.73390248823,0.000866322763621419,-1.71576517522441,2.36069693482251,2.4045810147254,-1.93178822044382,-1.86412570617417,0.401442831115288,0.904240403877293,1.19012445026394,-1.89584209016821
