SOURCE,X,Y,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,1350000,90000,4.34169555195128,-1.51539359066196,-1.6132487804367,1.11638449750487,0.689752654272679,-2.33067082952893,1.32695876894564,1.09903086669681,-0.205203249500132,-0.316229908564354,-1.2451865976544,-0.277517190312784,1.4097451479156,0.840536980211445,0.786964881814033,-2.66328236691338,-1.1606695652419,2.60378901082693,1.26941240094127,-0.282023807649336,-1.06989407500318,0.844932381751699
USA,1375000,115000,4.32817644153561,-1.71813687531162,-1.61682377315002,1.1013058200642,0.911072318590166,-2.59543874454181,1.26251690014419,1.04636427496123,0.151229216847055,-0.450949908677424,-1.14178061195646,-0.413194631598851,1.76961737624297,0.495212915685453,0.692657570639445,-2.45755040586947,-1.22902697765703,2.55271465660191,1.38623008381397,-0.343199949067323,-1.22162102286194,0.991180341359362
USA,1375000,140000,4.43407681536766,-1.52997964538816,-1.77556812766009,1.35507406738856,0.627273896935617,-2.520196102009,1.11395204074256,1.2367807504085,0.11282176978094,-0.563038599016748,-1.0503101877474,-0.491020254813164,1.90581649635235,0.426356340890974,0.777420421105371,-2.57549394342889,-1.3607996500999,2.66690607923223,1.64961407625445,-0.584125900599515,-1.1284840041617,0.812722194933265
USA,1375000,265000,4.47922410906454,-1.58079203849436,-1.65259479246926,1.52374072543192,0.423839050569454,-2.59147347594416,1.01560268670503,1.24798800370886,0.358463188565142,-0.700873141569507,-0.889239140565202,-0.967180521223962,2.51853748922694,0.44755487565718,0.934850215765172,-2.77868464829233,-1.68443632423543,2.33245628169407,1.46473862032111,-0.566555220908558,-1.02032295412569,0.218966378400747
USA,1375000,290000,4.59417537481762,-1.61204322986477,-1.56299272661277,1.42386608137,0.393702832834753,-2.55792797871891,1.00901908463043,1.16313228173272,0.515066925338257,-0.774587201996858,-0.842283869602279,-0.930302732961014,2.51238860450744,0.454867378155518,0.96404395051234,-2.91278864830596,-1.58019587853257,2.09959177145286,1.37655701124137,-0.437704941829892,-0.892466836498609,0.0815496813008174
USA,1400000,90000,4.01345900280658,-1.70993462289723,-1.4701042779259,0.797837407881824,1.24418336238142,-2.48052185971414,1.23077488988709,0.815451641790675,0.106761571504771,-0.182237476657281,-1.39501906993406,-0.383742394296293,2.21617831985117,0.192398340229047,0.474390737680417,-2.24850779105816,-1.37524583594664,2.38810887887731,1.28048043262334,-0.434407116026045,-1.18152574307948,1.17161922492476
USA,1400000,115000,4.22773570519735,-1.69391656594192,-1.63079724512231,1.09240186434645,0.973085847239915,-2.60503944777693,1.22932975289699,1.02016335704007,0.303130829423025,-0.506242136783267,-1.13807255381341,-0.536929883421079,2.12261800895765,0.266980242400452,0.634884362113977,-2.44635969987477,-1.29002584356985,2.48613687550786,1.42043656729688,-0.414960255981591,-1.25139425203273,1.18376661675888
USA,1400000,140000,4.16649134083013,-1.89979013537083,-1.45437576876626,1.06668307991686,1.09441797790798,-2.638257099182,1.05816329387367,1.1472182902621,0.218894684507321,-0.551017126610981,-1.01788637158024,-0.695479109800774,2.31854070705685,0.298836846143225,0.529912720913725,-2.43144906156773,-1.42180712926201,2.40435458142319,1.3983624874573,-0.34810039862486,-1.07475360691776,1.4004699948989
USA,1400000,165000,4.36459241906488,-1.87990023503531,-1.34055885786094,1.20389415425303,0.892036071946252,-2.79206819828733,1.01547973537154,1.22689795110645,0.356992864831187,-0.726725390708503,-0.838635659742653,-0.816952132498765,2.447530396671,0.248913063611314,0.66580435782283,-2.5148283708461,-1.7270154633751,2.59807442552024,1.43733545590859,-0.466487229990422,-1.09931632763536,0.863340703697531
USA,1400000,190000,4.40581491463467,-1.68213854017883,-1.49595034823502,1.29933545634066,0.792105222336892,-2.74734568271607,0.976186782492443,1.27641950488419,0.359224498699083,-0.709809775386207,-0.850307764310954,-0.832518053741017,2.3748982593672,0.307403284694448,0.78139536878491,-2.54509034786548,-1.7528569113605,2.59508260853748,1.4288173037235,-0.667267417841299,-1.08184886179138,0.710461774762161
USA,1400000,215000,4.37716357358454,-1.65034388389691,-1.55172231704904,1.32420631431261,0.778799418380867,-2.81724537241058,0.961191840593452,1.37310362596132,0.415036388523185,-0.711468212954937,-0.901422581170624,-0.795072794693506,2.36087380676382,0.314479289543766,0.870432381723514,-2.59191236592661,-1.78036258828533,2.50267847014738,1.29231916460493,-0.717401027918069,-1.07967679168144,0.611317815562188
USA,1400000,240000,4.3638381349489,-1.61765096169251,-1.63523242915978,1.3643017883254,0.706475072276688,-2.73225258903294,0.981012290256013,1.32749954579372,0.401608079970304,-0.726474332846579,-0.872008102103068,-0.728544500975319,2.36213070072124,0.292906232294448,0.941592338766487,-2.69965597767068,-1.73665537085699,2.33451256962037,1.14752213451076,-0.689588532609916,-0.966744838006285,0.419143138454828
USA,1400000,265000,4.43483309149458,-1.66327956382595,-1.65250897086579,1.37967627969715,0.595571367025157,-2.59018573038026,0.941401505518527,1.31472023354122,0.344689174306569,-0.721780755046131,-0.826665817689824,-0.802357431988405,2.4729929584773,0.279175912066728,0.978353335536016,-2.81821046462733,-1.67436195317039,2.18657444833127,1.10775330062951,-0.6176769439174,-0.87686135412498,0.253925520363127
USA,1400000,290000,4.51648668996941,-1.6335805593558,-1.60711173146766,1.45417482037055,0.435141403154575,-2.5894730988566,0.995312430042029,1.26812663023783,0.428355808284308,-0.81633038349929,-0.777300220928439,-0.989757412593286,2.63236773027615,0.339790050129885,0.956707996081564,-2.83849392470088,-1.69293131227837,2.12229470226012,1.38126744306119,-0.546456564254657,-0.972458714618879,0.192327393864285
USA,1400000,315000,4.57293750730681,-1.63223318303696,-1.55397018342926,1.52569640929355,0.354722437689145,-2.60246709843947,0.978052835657307,1.21156053639712,0.514732208213183,-0.86725912430079,-0.741879171941987,-1.03115829021219,2.64876468959555,0.414436713014406,0.928356525922534,-2.80544591893382,-1.74165363964727,2.031897458286,1.5502255107714,-0.451240429954685,-1.01056817586035,0.099070416661827
USA,1425000,115000,3.98666940353311,-1.86884887167419,-1.38419617654234,0.96053106276526,1.17507272103632,-2.70184980606747,1.33786733458205,0.864238828002485,0.266551559621429,-0.408468169908817,-1.2101700100293,-0.554453048069594,2.5308690453847,0.0236072951399384,0.486872649879404,-2.34918753182087,-1.5497183398577,2.45748548551281,1.2809848776096,-0.40045347504191,-1.19784326460656,1.62184095431059
USA,1425000,140000,4.07316738893232,-1.8213874351435,-1.51325928220508,1.15726240680984,1.05472091688754,-2.78572231523007,1.19005963931131,1.05567147833737,0.435221041428672,-0.597044690373116,-1.04185039011308,-0.774274051714686,2.56048178003214,0.110469917447894,0.539453887346399,-2.41653814323817,-1.54109199416288,2.43768545951303,1.47848665370624,-0.423015021291641,-1.16966224263696,1.49933432470025
USA,1425000,165000,4.14981518998508,-1.82842906314594,-1.43568345212399,1.22929144493457,0.964531432536806,-2.88838790706743,1.11725579635847,1.13739655165089,0.529560956763255,-0.735970678402204,-0.89206786532042,-0.898784527098737,2.66031052287546,0.0986856796566911,0.634658393486902,-2.44859545246865,-1.78514332504414,2.52651341336025,1.48833322961502,-0.551127134834074,-1.11416952743928,1.2159952193662
