SOURCE,X,Y,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA,-2200000,375000,2.75305020458645,-2.56036710005468,-0.369562900703581,0.116254304682416,0.0414161780189999,0.881565934431993,-1.32443224979764,2.19196261814027,-0.853959552801738,-2.05250863467173,0.0757663171166429,-0.272579630105174,3.37591082225091,-2.10090321457551,0.950882126759037,-3.85775577856088,2.5370944289403,-0.617152463772828,2.58719277662795,-0.645746178021719,-1.81557712792142,1.60074883864274,-2.59809634750799
USA,-2200000,4e+05,2.55683959904777,-2.29356016441406,-0.428913835965112,-0.24043011776104,0.147673657970258,1.11429834182938,-1.50524060369678,2.25308839160984,-0.665043363673659,-1.95122626276404,-0.217303019761049,-0.133850113231724,3.19316175171193,-1.61942053796906,0.928586609441027,-4.0048236689735,2.57459538536677,-0.635342714799372,2.68524411676205,-0.744967747357645,-1.93674475062812,1.91421243258398,-2.38619467555354
USA,-2175000,225000,2.55643523475145,-2.58726271826972,0.146645391147608,-0.107132440075032,-0.453385064279,1.34705562019127,-1.17532381462524,1.70452021363803,-0.785823325476211,-1.93983863136997,-0.00715005672548896,0.30085494213771,2.86252039647278,-1.75048409203176,0.273521232303969,-2.97327500267151,2.69099999112449,-1.42258984488919,2.39709941418165,-0.589257441421249,-1.07525584887743,1.54901117239535,-2.85014117172369
USA,-2175000,250000,3.01963553452963,-2.91309073215271,0.106505432994399,-0.138818029545673,-0.505098213809344,1.50922390950235,-1.4520288836887,2.06264148034094,-0.933621890665018,-2.11630340631093,-0.118374338031899,0.353680657270765,3.16043248324757,-1.98527140521751,0.485141633187341,-3.410472726273,2.992692023613,-1.52179709894022,2.74390010937698,-0.766020072006511,-1.17802710895217,1.79040215785692,-3.17479893597811
USA,-2175000,275000,3.4570799531147,-3.05613390265466,-0.173580145013641,-0.223910964579202,-0.442712078228338,1.34573021207069,-1.62147898865328,2.66878563901215,-1.18707785915588,-2.49567822772684,-0.119281405417381,0.643495151489102,3.25170998959304,-1.77429271130117,0.690081507095697,-4.19545069021731,3.25979889388952,-1.66621824333127,3.13890759470656,-0.553844546244566,-1.5739713424436,2.07123538825985,-3.3788352496151
USA,-2175000,3e+05,3.0555533171724,-2.83046622541568,-0.109146915524923,-0.206217446347423,-0.447749451230492,1.36956647858213,-1.46708180563278,2.37203280372896,-1.20577579668752,-2.13580230546558,-0.190476052885494,0.554282443959707,3.13285203361424,-1.69264017116459,0.45946096428985,-3.80294549693298,2.99214581554168,-1.25363905066404,2.94249845795554,-0.70851794281959,-1.64901715053034,2.04456315505517,-3.07419278221065
USA,-2175000,325000,2.75737044358919,-2.67926114644645,-0.15228144973256,-0.163476338067415,-0.387533195270098,1.2796180453683,-1.39178234506222,2.30043227149332,-1.20834679649739,-1.96415120982207,-0.19464904448812,0.448506521571046,3.07595064265723,-1.66595021964377,0.457004075482336,-3.71222363248951,2.88724875193776,-0.953443824345069,2.83008159343083,-0.788697558552105,-1.84384016001216,2.09657916412105,-2.91618453476046
USA,-2175000,350000,3.01619194574982,-2.66868258040911,-0.273707308689282,-0.365842546163539,-0.180007295455679,1.16687971261822,-1.49581482268469,2.53254618678759,-1.04793956546409,-2.30424900750189,-0.14110880298984,0.381000158844397,3.19250598521206,-1.46666685613122,0.799519316226822,-4.16232089193213,2.80740117191549,-1.07049560132036,3.21668687357847,-0.598219391029702,-2.04490269869883,2.21238996749114,-2.90081343342997
USA,-2175000,375000,2.81102332526703,-2.53512554650757,-0.282183744915432,-0.281875024184512,-0.164601515911412,1.20364550250318,-1.39941925896974,2.23368476205608,-0.793100712790435,-2.09874107518318,-0.21584675366803,0.18877450614465,3.13351833644792,-1.48166475268335,0.77121043781335,-3.98883240291548,2.71635492747695,-0.857386772255712,3.06194118374863,-0.764839253313727,-2.06518410118254,2.15976982684959,-2.65564043221875
USA,-2175000,4e+05,2.63856560612102,-2.38404444174737,-0.309634965873362,-0.290936854595361,-0.0248046153932671,1.09361572014897,-1.30012419492458,2.08543289542133,-0.635587046265957,-1.95379914435766,-0.231289425822219,0.0503869303178174,3.00708836717591,-1.40423870105817,0.870601393133252,-3.92490800785456,2.59109184024079,-0.7689361041257,2.9665249183617,-0.976362685799302,-1.93130127734108,2.03432227701606,-2.3565351782687
USA,-2175000,425000,2.34700411756711,-2.05067812164043,-0.340772781385073,-0.412769978656382,0.17343044812489,0.923007968697611,-1.16489704520254,1.89073529346696,-0.502361692556997,-1.68048088889194,-0.247821507060631,-0.0971760069367804,2.76130914339542,-1.3221760822124,0.90459939901523,-3.70791417246569,2.38974620553928,-0.564740459122989,2.4504958335058,-0.758579032832676,-1.97175352929787,1.85501875608424,-1.93710749327473
USA,-2175000,450000,2.26054326824805,-1.83884183707151,-0.334217948729845,-0.594986343974597,0.283923738172123,0.89072426167142,-1.15784719076733,1.80460079979982,-0.358269921437402,-1.60952061717195,-0.222897779640797,-0.142000894649763,2.55962427069872,-1.43870021840798,1.08479075177491,-3.85909436467475,2.53150279267767,-0.3947210821001,2.00228148985021,-0.56770221742072,-1.86390554445778,1.37521977806831,-1.69257863612421
USA,-2150000,225000,3.28552889053905,-3.03662634774078,0.0314971942166604,-0.044286817050494,-0.62538308230649,1.20543884373937,-1.23831144289938,2.14853169842529,-1.01541792849092,-2.18927954411874,-0.00584779082960102,0.491382079170375,2.83913948780509,-1.70793823880526,0.53634929851306,-3.40184349385547,3.0963794062472,-2.03810620018464,2.71679765273166,-0.404376616274027,-1.11230471467292,1.8473596234646,-3.24579702664534
USA,-2150000,250000,3.80791399320971,-3.38208938162901,-0.0616928244053003,-0.348702410396025,-0.503789469864642,1.23327122415224,-1.65686645698378,3.13488587557098,-1.34935902614107,-2.77850885781228,-0.0700378276257463,0.834945928246394,3.37039844053986,-1.87582767026406,0.935856730405717,-4.67095406787726,3.51155463783433,-2.07494388739709,3.5905513569123,-0.234514577942064,-1.90190731965579,2.23946905645775,-3.7822715451569
