SOURCE,X,Y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA,-1950000,25000,-0.34139270166309,-0.369055121569077,0.235752711413764,-0.491699596846337,0.282470548423192,1.33770402652463,-0.396151229732926,-1.85080064609768,0.799080974337058,0.609707286686602,1.92265013157949,-0.630753023989934,-2.09789767941525,-0.950754553813097,-0.627794125173809,0.59042272659919,1.13084434776129,0.85518084884086,-0.989411657197714,1.97146020356327,-2.96067474681831
USA,-1950000,-25000,-0.0490534140913588,-0.450061483676684,0.18861756534447,-0.199732093904267,-0.0853942764760052,1.53140032954828,-0.425926742336704,-1.94350949152087,0.471955276725647,0.605456909833723,2.29208307906751,-0.689206712639443,-2.00340666778109,-0.994843756079463,-0.869040414917681,0.55607226027325,1.18080239285827,0.189993556398688,-0.365912870717553,2.09144073222489,-3.22780077294335
USA,-1950000,-50000,-0.00544854817992135,-0.313014085119824,0.056096324259995,-0.304285015967418,0.0308607445818927,1.51433856064296,-0.305661846327982,-2.10238681629785,0.470685867218311,0.596353450639754,2.39568397565861,-0.820401529015347,-1.96351638485415,-1.13331974718457,-0.700039659954098,0.509773519480035,1.14231532614881,0.161965921747333,-0.269833007900723,2.0036690675869,-3.12417257719536
USA,-1950000,-75000,0.0680517010731805,-0.551661868765859,0.145252188349746,-0.249753595000717,0.0604552819068704,1.05288563485498,-0.0146162702441615,-1.56954944664338,0.129986977502256,0.477315833300395,2.00544988554078,-0.497133125750967,-2.04546748857097,-0.960219517333254,-0.792019688369798,0.583183321595794,1.22034362311698,0.0718285013496196,-0.0710894109670068,1.72678123985166,-2.58463745967134
USA,-1800000,-475000,-0.55027282659985,0.154740429779713,-0.0548037677150708,-0.14451438581746,1.06682668724825,0.10287453556336,-0.597899492961741,-0.821370475440181,0.377376602653137,0.082553870075027,1.86050404132581,-0.870277497287732,-1.85738628686783,0.44057967154553,-1.37617071924155,0.573225714032147,0.495233314919859,-0.426085075332813,1.09014498583047,1.82875994698271,-2.14987314345332
USA,-1750000,8e+05,0.311227132033504,-0.69815503508726,0.288450514398811,-1.15672985360811,0.484474048003638,0.887635698131343,-0.399065869993663,-0.0770362812482586,0.747413840692264,-0.272883989558571,0.378872830129535,0.44443778472239,-1.30096532673174,0.182812041520001,-1.02524186351778,-1.1011951090122,1.24827921417361,1.0711497650217,-0.522438241026397,1.26736614201708,-1.65898161959762
USA,-1725000,8e+05,0.264168482105017,-0.607157484661683,0.245904507988531,-1.1276128458731,0.475905919172748,0.773108147101398,-0.17922866526415,-0.140649890025298,0.785439575051501,-0.333690357670032,0.582160756070709,0.444845233700063,-1.52193760122787,0.129748822703391,-1.02618372371256,-1.06408887187294,1.14412854320932,0.906199690495495,-0.288246364343081,1.18974329521364,-1.35386600304782
USA,-1700000,650000,-0.504618097572302,0.0339098795584787,0.0384357444476324,-1.24449703577216,0.742139581452922,0.994595991335405,-0.589175320454168,-0.688852097378641,1.55911875858873,-0.231972974685318,0.303190536270329,0.426982902944186,-2.0428874848687,0.528166232404974,-1.30485812529688,-0.664157644716297,1.50917332523371,0.428247093907885,-0.191316516624939,1.0260398451849,-1.31946255381639
USA,-1650000,1200000,0.107015695022063,-0.612216423704267,-0.0783830788416144,-0.675624097315285,-0.478445613414208,1.21967268751901,0.0464993354482557,0.14709792823836,0.600663727195065,-0.44236067902318,0.0653190225997402,1.14329442148469,-1.31912732776264,-0.622253045822474,-0.388533136937209,-1.5436575383088,1.42390976174868,1.50037181734247,-1.06840740221223,0.86021874278402,-0.875921821888212
USA,-1625000,1250000,0.477865902713438,-0.763058226556955,0.0310097803236769,-0.616272202259339,-0.357751391821935,1.14514301204326,-0.272546066843075,0.200202889456019,0.913504301171078,-0.458056950136678,-0.361521360250875,1.31759024335353,-1.16674619146052,-0.223106041880975,-0.644351968644891,-1.45172715144736,1.06546423140341,1.7180612933131,-1.10528230046702,0.635004984801394,-0.693294338995359
