SOURCE,X,Y,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA,-2150000,6e+05,-2.62847351276374,1.58396566603462,0.059830543379282,-0.171279026122478,-0.485158106805854,0.165232524247062,0.722205715967063,-1.21708281820228,-0.0310579201964432,1.64043568487547,-1.07339762476047,-0.143070400586726,0.095694702708678,0.248016350610201,-0.834687356431214,2.75809894266546,-1.52467427125989,-0.0808034282368101,-0.315733023717239,-0.555902572733913,0.280035902929809,1.66623908270455,-1.94590106545682
USA,-2125000,550000,-2.09156427341577,1.3757791325189,-0.0110066991497522,-0.144295556905736,-0.375912287041608,0.209604059318836,0.341210901050628,-0.976981074750108,0.175275820489041,1.20512330586066,-0.99428771717369,-0.160924343409367,0.376930070776487,-0.00427864347148943,-0.569640725219632,1.78285106209916,-0.84703254591269,0.0864910171254073,-0.444985035075033,-0.334644083665717,0.300444020814611,1.15774950896737,-1.51828968491453
USA,-2125000,625000,-2.40513392649263,1.43670047250281,0.0792772086736592,-0.203609058705969,-0.397559740179247,0.100151755312607,0.675274412661503,-1.07822951845437,-0.048529150645038,1.49902475223775,-1.11427291096307,-0.103709288822428,0.233100118049087,0.156197806729456,-0.724327652341872,2.30682512290878,-1.26247240374138,-0.119318335297434,-0.119071945097632,-0.610697764478026,0.314347096150543,1.51767154706356,-1.74768036528185
USA,-2125000,650000,-2.41595860723368,1.25201072617842,-0.0618154785123914,0.0332491337612327,-0.473084215749521,0.157221931719065,0.68989033920914,-1.07386216813164,-0.0128587151963568,1.31267982659677,-0.933533141861777,-0.115171871832343,0.221099880803439,0.0179581987561412,-0.461660944409834,1.81964364209649,-1.01246499291846,-0.0845429552392321,-0.0297778405063897,-0.687932630611817,0.329351589630131,1.28338449591777,-1.46069560879447
USA,-2125000,675000,-2.23081190898098,1.09143557710256,-0.188875795958029,0.28017296378141,-0.494786766981186,0.12474413332576,0.72440713190828,-1.09396691485486,0.094081874873602,1.17690691123387,-0.751858945706273,-0.17321860667708,0.119323776288522,-0.0154054660452084,-0.446456324377521,1.75386954638878,-0.925000481090684,-0.0711062755526665,0.0491350211397427,-0.748599174666404,0.26086116439832,1.15984461770873,-1.27360100956913
USA,-2125000,7e+05,-2.21176306426088,1.03026257135858,-0.189663676348357,0.336514222277564,-0.468812209461884,0.0529986185733278,0.854596629705249,-1.14034461994025,0.0801688152184843,1.16948586373832,-0.658394535735802,-0.148933123247529,-0.0333276997536356,-0.068088246245411,-0.27361878322231,1.66699802415026,-0.922178791195679,-0.13411142702993,0.134140098268419,-0.747325023156134,0.234800492272342,1.13765247508759,-1.31125321686068
USA,-2100000,525000,-1.79833673595938,1.29208166057094,-0.14773259828716,-0.0804462497247112,-0.352527873709505,0.288551173755105,0.125719047296513,-0.793808443748188,0.230650530586599,0.939221490497823,-0.882073444555672,-0.158851655275082,0.429250704295216,-0.0363527250576992,-0.510686500625742,1.31217878193214,-0.448418742442624,0.0860303561428346,-0.491569673809154,-0.236263618568019,0.200260546660083,0.916918022485755,-1.16597896851755
USA,-2100000,550000,-2.40164078235942,1.82941168412353,-0.240974833777484,-0.153830066348476,-0.43470936831795,0.266244090895427,0.530643695324227,-1.16979689384719,0.0845523926352485,1.30753568310646,-0.909759654700888,-0.185459162474846,0.39560081811557,0.0808846461768946,-0.931998628494935,2.56048743423061,-1.27748452566692,0.0718694543909416,-0.520547869126645,-0.357566312104902,0.0840437579007438,1.57063611263931,-1.86335141088934
USA,-2100000,650000,-2.18858643453932,1.28039890992197,0.108095496480077,-0.235785819691129,-0.318373751365965,0.0628357177339534,0.671097583646355,-1.02043920328625,-0.0486067256493226,1.32523639705291,-1.06579386525467,-0.0382227413784415,0.301645797663872,0.11773038132375,-0.749315239732759,2.05153990688652,-1.10836786852362,-0.134680585227736,0.0143870994118304,-0.566208685476552,0.255622989101463,1.43185432762323,-1.63815888862461
USA,-2100000,675000,-2.23695607692015,1.1915495661461,0.121701597287554,-0.162191370325741,-0.328546012159623,0.0321339733388812,0.793398599079656,-1.10339283483048,-0.0494238363385295,1.3037519140787,-1.00715445324169,0.0186570649190139,0.17220346310084,0.167050719470216,-0.760741261556863,2.04362833327895,-1.16245235436956,-0.0985759342962965,0.0527989033090486,-0.576227866888353,0.217338762405115,1.44459951137295,-1.62323343587575
USA,-2100000,7e+05,-2.27953575739605,1.18220956191975,-0.0118357743083697,-0.00964697987029978,-0.356583564659154,0.0144703192891986,0.912825960803671,-1.26075735449835,0.0156194933687178,1.2962836482248,-0.951684283269538,0.0327399456074751,0.0927159619103405,0.146621639776613,-0.716269061122641,2.01854265108298,-1.20452490617278,-0.0529718405631163,0.10918648239379,-0.660593586993856,0.187896889912589,1.51506716280669,-1.66538621607532
