SOURCE,X,Y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CA,-1828963.8779,1830940.4511,1.06381562430473,-0.0697932006774438,-0.0590499013357206,-0.832269733034526,-1.2909232764088,0.622867566664261,0.629441384129293,0.114688196755884,0.483811507279024,-0.0490780449739328,-0.888143974856001,0.957413391415697,-0.56437189355329,-1.65980805939754,0.876752979528983,-1.32112948886689,0.311246130641733,1.44942334627866,-1.20659608397297,0.924845187956201,-1.11136569545199
CA,-1828963.8779,1905940.4511,1.08901555166545,-0.0655431164497176,-0.0267131643189613,-0.69799064783127,-1.48217259295206,0.53167072983826,0.645485730028656,0.117614099049653,0.575851176286152,-0.0238182456815179,-0.765748181370129,0.715321297937258,-0.392550212106855,-1.65844196541331,0.84921030981307,-1.23037139781843,0.27674555986004,1.4581163686309,-0.952719642607836,0.545118739804921,-0.304290672506546
CA,-1828963.8779,1930940.4511,1.35054119841455,-0.23229860566058,0.112151881387618,-0.744864391690989,-1.40024369772225,0.545327214605154,0.596022606111417,0.0656343200611655,0.640325138748015,0.00316600626747032,-0.803029248108011,0.794610916863555,-0.645948979298427,-1.55005539774705,0.957519742385275,-1.27298869818344,0.20636475587609,1.59464818117702,-0.957320746050398,0.602148574345184,-0.224044957746887
CA,-1828963.8779,2005940.4511,1.03162832075656,-0.261571941200184,0.239918570782835,-0.647756892695288,-1.54387552838011,0.692636915453221,0.360317563397222,0.122733461322414,0.699924521403469,0.0449129993401032,-0.916693336608539,0.894462387416911,-0.502029204245001,-1.75231661166789,1.01686083234219,-1.17713324842796,-0.00482229097069276,1.58187762178963,-0.885931157103691,0.716849020774677,-0.17275050098805
CA,-1828963.8779,2030940.4511,1.04124507863631,-0.291602571583197,0.230378605546464,-0.62385176695052,-1.59028236701586,0.6722439946769,0.420880500959993,0.0807806009396002,0.728044780883945,0.0380741424089135,-0.930076105559926,0.905409084361873,-0.597691303019259,-1.68447361130736,0.988187544993836,-1.12518518594839,0.00131344624783131,1.57619920494438,-0.890852584633741,0.750538800351301,-0.231832020321802
CA,-1803963.8779,1830940.4511,1.21444338468624,-0.0754025345176395,-0.0262482557668378,-0.901149621888806,-1.22474501210183,0.686733261022521,0.571600264769701,0.0437044291826156,0.464039144052835,0.0106645606601434,-0.830209530108837,0.913177039292836,-0.662544701339458,-1.6612322180754,1.01393654957888,-1.38032034917523,0.377466305910619,1.47905473364198,-1.11893532929736,0.892407578062379,-1.20290246426889
CA,-1803963.8779,1855940.4511,1.17431007093909,-0.0489307703096116,-0.0397671463944964,-0.850538719447616,-1.32324510412186,0.657659803334223,0.618015719747677,0.0384319469704149,0.481677727194705,0.0276230144692642,-0.816897156585415,0.864530387304919,-0.520300184691254,-1.65312559443967,0.930244162964005,-1.2667492435947,0.295756145599452,1.48634545735081,-1.01411548954577,0.65424843303077,-0.784340518487697
CA,-1803963.8779,1880940.4511,1.25768773353769,-0.0592842930796813,-0.0606919829638843,-0.799289460819294,-1.36504026486053,0.662281085272513,0.59646709986121,0.0471999822323772,0.497493206717023,0.0320247523845874,-0.771599151732098,0.77783598477423,-0.512736554045172,-1.62333767063706,0.912388306715113,-1.2305010694561,0.290110538020493,1.51952157529074,-1.01829553273494,0.592255806732862,-0.625598699173965
CA,-1803963.8779,1905940.4511,1.34423590953894,-0.114946196001082,-0.0296319331332162,-0.764759393009573,-1.38433144485717,0.648915487732726,0.567578718678583,0.0533481698758558,0.538268559092697,0.0299519564847404,-0.754635504706026,0.736180515280161,-0.548855794083944,-1.5797893298843,0.90897700121258,-1.20739712233399,0.28082559186984,1.55667028766261,-1.00784186733589,0.558689706102197,-0.45087714809572
CA,-1803963.8779,1930940.4511,1.2009422144332,-0.110758336657037,-0.0092126898821332,-0.663202266193226,-1.48112458859183,0.574748272195267,0.539557166460387,0.125059104752328,0.557064635832626,0.0292207132139728,-0.79367761547025,0.714815597044926,-0.418147071922401,-1.61962152862547,0.888290148971357,-1.13365530718423,0.270244205400751,1.52865847152997,-0.932049335405076,0.416282113543242,-0.172352724266471
