"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73"
"1",0,50,75,100,522.015325445528,800.390529679106,807.000619578449,673.145600891813,1212.69328356349,1267.37918556366,1274.01923062409,919.238815542512,590.021186060297,951.971638232989,929.045208803102,838.525491562421,794.11900871343,645.174395028197,625,962.094070244693,850,515.388203202208,928.035559663529,862.046982478333,840.386815698581,1096.58560997307,1073.83657974573,917.877987534291,570.087712549569,555.090082779363,1152.44305716161,1129.7123527695,1107.07949127423,1084.55059817419,1062.1322893124,805.062109405231,590.021186060297,1118.03398874989,1073.54552767919,977.880360780397,795.691523141977,778.620575119872,686.476510887299,707.548584904245,816.241385865725,816.241385865725,849.264387573151,1015.19702521235,1213.72360939384,1192.68604418766,1171.8041645258,1151.08644332213,650.480591562884,867.827747885489,955.24865872714,1269.35022747861,1248.24877328199,1227.29377086336,1185.85412256314,1165.38620208067,816.241385865725,1027.74023955472,1173.93568818739,1185.32695911297,1340.00932832574,1355.08302328677,1208.30459735946,1360.14705087354,1375,1200.26038841578,1201.04121494643,1226.01998352392,1234.14950471975
"2",50,0,25,50,474.341649025257,848.896342317482,855.131568824354,719.809002444399,1261.19982556294,1315.76973669408,1322.16678221774,965.660395791398,630.971473206198,998.123238883856,975,883.529852353615,838.525491562421,686.476510887299,665.676347784717,1007.78221853732,894.427190999916,548.292804986533,972.753822917186,905.883546599672,883.883476483184,1142.36596587959,1119.43065886191,961.769203083567,602.079728939615,585.768725692999,1198.17569663218,1175.26592735432,1152.44305716161,1129.7123527695,1107.07949127423,845.946215784432,620.987117418711,1162.9703349613,1118.03398874989,1020.41658159793,831.038506929733,813.17279836453,715.017482303754,735.272058492637,849.264387573151,785.015923405379,816.241385865725,976.281209488332,1256.23445264011,1234.90890352285,1213.72360939384,1192.68604418766,650.480591562884,835.53874835342,919.238815542512,1311.96417634019,1290.59094991403,1269.35022747861,1227.29377086336,1206.49285120137,840.386815698581,995.615387586994,1152.44305716161,1162.9703349613,1310.77267289183,1325.23582806986,1188.48643240047,1331.35269556943,1345.59466407979,1200.26038841578,1200,1225,1229.07485532819
"3",75,25,0,25,450.693909432999,873.212459828649,879.275269753449,743.303437365925,1285.49601321824,1340.00932832574,1346.29120178363,989.002022242624,651.920240520265,1021.33491079077,998.123238883856,906.228448019593,860.958767886128,707.548584904245,686.476510887299,1030.77640640442,916.856041044612,565.685424949238,995.301461869719,928.035559663529,905.883546599672,1165.38620208067,1142.36596587959,983.933432707721,618.970920156997,602.079728939615,1221.16747418198,1198.17569663218,1175.26592735432,1152.44305716161,1129.7123527695,866.746791167986,637.377439199098,1185.59057013794,1140.4494727957,1041.93329920874,849.264387573151,831.038506929733,730.154093325512,750,866.386172558173,770.146090037468,800.390529679106,957.209485953832,1277.69323391806,1256.23445264011,1234.90890352285,1213.72360939384,651.920240520265,820.060973342836,901.734439843572,1333.46353530946,1311.96417634019,1290.59094991403,1248.24877328199,1227.29377086336,853.302408293801,980.114789195633,1142.36596587959,1152.44305716161,1296.63024798899,1310.77267289183,1179.24764150708,1317.43121262554,1331.35269556943,1201.04121494643,1200.26038841578,1225.25507548428,1227.29377086336
"4",100,50,25,0,427.200187265877,897.566153550812,903.465549979633,766.893082508898,1309.81868974297,1364.27636496423,1370.44700736657,1012.42283656583,673.145600891813,1044.62912078881,1021.33491079077,929.045208803102,883.529852353615,728.868986855663,707.548584904245,1053.8619454179,939.414711402797,583.630876496438,1017.96365357512,950.328890437411,928.035559663529,1188.48643240047,1165.38620208067,1006.23058987491,636.396103067893,618.970920156997,1244.23671381293,1221.16747418198,1198.17569663218,1175.26592735432,1152.44305716161,887.764045228235,654.31261641512,1208.30459735946,1162.9703349613,1063.60236930913,867.827747885489,849.264387573151,745.821694508815,765.261393250698,883.883476483184,755.810822891549,785.015923405379,938.416218956173,1299.27864601863,1277.69323391806,1256.23445264011,1234.90890352285,654.31261641512,805.062109405231,884.590300647707,1355.08302328677,1333.46353530946,1311.96417634019,1269.35022747861,1248.24877328199,866.746791167986,965.012953280939,1132.75107592092,1142.36596587959,1282.81916106675,1296.63024798899,1170.46999107196,1303.84048104053,1317.43121262554,1202.3414656411,1201.04121494643,1226.01998352392,1226.01998352392
"5",522.015325445528,474.341649025257,450.693909432999,427.200187265877,0,1275.98001551748,1277.20397744448,1129.43569980765,1681.70300588421,1733.85408843997,1736.55549868123,1364.73440639562,995.301461869719,1393.28747930928,1368.6215693171,1270.08857958805,1220.91154470748,1049.40459309077,1025,1397.54248593737,1274.7548783982,862.046982478333,1353.23686027244,1279.89257361702,1255.48795294897,1529.70585407784,1505.19932234904,1334.16640641263,901.387818865997,877.852493303972,1583.70609647119,1559.24661295127,1534.80454781708,1510.38074669932,1485.97611017136,1195.04184027171,910.013736160065,1540.29218007494,1491.64338901763,1377.04393539204,1132.75107592092,1109.61705105861,972.753822917186,983.933432707721,1129.7123527695,475.657439761011,480.884601541784,561.805126356106,1604.8753845704,1581.13883008419,1557.44181271725,1533.7861650178,689.655711206686,505.593710403917,538.51648071345,1660.1957715884,1636.49778490531,1612.83911162893,1565.64683118512,1542.11705132911,1047.0195795686,649.037749287358,900.347155268455,901.387818865997,972.432516938836,980.433577556379,950,996.242942258564,1004.05428140116,1152.44305716161,1142.36596587959,1165.38620208067,1130.5419054595
"6",800.390529679106,848.896342317482,873.212459828649,897.566153550812,1275.98001551748,0,25,158.113883008419,412.310562561766,467.038542306735,474.341649025257,167.705098312484,335.410196624968,201.556443707464,190.394327646598,176.776695296637,190.394327646598,305.163890393343,325.960120260132,223.606797749979,201.556443707464,492.442890089805,230.488611432322,226.384628453435,230.488611432322,336.340601176843,320.156211871642,251.246890528022,493.0770730829,514.78150704935,388.908729652601,371.651718682963,355.316760088797,340.036762718386,325.960120260132,302.076149339864,506.211418282915,375,347.311099736245,328.823660949148,437.321392113398,450.693909432999,548.292804986533,565.685424949238,493.0770730829,1367.70793665899,1415.31798547182,1631.33381010755,514.78150704935,503.115294937453,492.442890089805,482.830197895699,917.877987534291,1423.02494707577,1542.11705132911,561.805126356106,548.862460002504,536.772763839597,515.388203202208,506.211418282915,660.018939122204,1559.84774898065,1553.22245670091,1574.20614914312,1801.73527467272,1823.62962248369,1560.64890350136,1814.00799336717,1835.75597506858,1280.62484748657,1296.38921624642,1315.76973669408,1380.67012714841
"7",807.000619578449,855.131568824354,879.275269753449,903.465549979633,1277.20397744448,25,0,152.069063257455,406.970514902493,460.977222864644,467.038542306735,145.773797371133,325,180.277563773199,167.705098312484,152.069063257455,167.705098312484,291.547594742265,313.249102153542,201.556443707464,176.776695296637,482.830197895699,206.155281280883,201.556443707464,206.155281280883,318.198051533946,301.039864469807,226.384628453435,480.884601541784,503.115294937453,371.651718682963,353.553390593274,336.340601176843,320.156211871642,305.163890393343,279.508497187474,493.0770730829,355.316760088797,325.960120260132,304.138126514911,416.082924427331,430.116263352131,531.507290636732,548.292804986533,471.69905660283,1360.14705087354,1408.01278403287,1625,493.0770730829,480.884601541784,469.707355701398,459.619407771256,905.883546599672,1415.31798547182,1535.00814330088,540.832691319598,527.375577743225,514.78150704935,492.442890089805,482.830197895699,640.312423743285,1550.80624192708,1539.68340901628,1560.8491278788,1789.72763290954,1811.76709319934,1546.36670941921,1801.73527467272,1823.62962248369,1261.19982556294,1277.20397744448,1296.38921624642,1362.21327258253
"8",673.145600891813,719.809002444399,743.303437365925,766.893082508898,1129.43569980765,158.113883008419,152.069063257455,0,552.268050859363,604.669331122391,608.276253029822,246.221445044903,180.277563773199,279.508497187474,257.390753524675,176.776695296637,145.773797371133,160.078105935821,176.776695296637,291.547594742265,195.256241897666,335.410196624968,265.753645318366,215.058131676066,201.556443707464,425,403.112887414927,265.753645318366,340.036762718386,360.555127546399,480.884601541784,458.938993767146,437.321392113398,416.082924427331,395.284707521047,226.384628453435,355.316760088797,450.693909432999,410.030486671418,340.036762718386,333.541601603158,340.036762718386,410.030486671418,430.116263352131,388.104367406501,1209.59704034029,1257.22909606802,1473.51620282914,565.685424949238,548.292804986533,531.507290636732,515.388203202208,763.216876123687,1264.91106406735,1384.06105356664,618.970920156997,601.040764008565,583.630876496438,550.567888638631,535.023363975817,536.772763839597,1402.007489281,1400.89257261219,1421.48689758295,1646.58738000751,1668.27006207029,1410.00886522036,1659.25435060451,1680.77363139716,1151.08644332213,1165.38620208067,1185.85412256314,1245.49187070812
"9",1212.69328356349,1261.19982556294,1285.49601321824,1309.81868974297,1681.70300588421,412.310562561766,406.970514902493,552.268050859363,0,55.9016994374947,70.7106781186548,328.823660949148,701.78344238091,309.232921921325,333.541601603158,431.566912540802,480.884601541784,654.31261641512,679.153885360306,316.227766016838,436.606229914325,855.862138431184,371.651718682963,443.001128666734,467.038542306735,230.488611432322,250,403.887360535088,838.525491562421,863.133825081604,215.058131676066,230.488611432322,247.487373415292,265.753645318366,285.043856274785,553.398590529466,843.35638967165,265.753645318366,301.039864469807,416.082924427331,682.825014187383,705.779710674655,845.946215784432,854.400374531753,726.722092687432,1730.7873930671,1779.92275113276,2001.56189012481,380.788655293195,391.311896062463,403.112887414927,416.082924427331,1250,1784.65682975747,1907.38695602125,388.104367406501,395.284707521047,403.887360535088,425,437.321392113398,905.883546599672,1910.00654449141,1858.0904176062,1880.99043059767,2121.61495092771,2144.90675788016,1856.23947808466,2130.874233736,2154.0659228538,1500,1520.07401135603,1535.00814330088,1615.93626111923
"10",1267.37918556366,1315.76973669408,1340.00932832574,1364.27636496423,1733.85408843997,467.038542306735,460.977222864644,604.669331122391,55.9016994374947,0,25,375.832409459323,750.416550990182,353.553390593274,378.318648760539,477.62432936357,527.375577743225,701.78344238091,726.722092687432,357.945526581909,480.884601541784,903.119593409422,412.310562561766,485.41219597369,509.901951359278,257.390753524675,279.508497187474,443.001128666734,883.883476483184,908.639092269312,230.488611432322,250,270.416345659799,291.547594742265,313.249102153542,594.243216200236,887.764045228235,285.043856274785,325.960120260132,447.213595499958,719.809002444399,743.303437365925,886.002257333467,893.378419260282,761.577310586391,1775.52809045647,1824.82875908947,2047.10160959343,381.608438061844,395.284707521047,410.030486671418,425.73465914816,1291.55913530895,1829.10497238403,1952.24230053546,380.788655293195,391.311896062463,403.112887414927,430.116263352131,445.112345369121,939.414711402797,1952.56241897666,1894.23467395146,1917.3549488814,2159.4270073332,2182.88799529431,1891.09756490774,2168.23661070465,2191.60329439431,1525.81945196671,1546.36670941921,1560.64890350136,1643.35784295448
